"to review","working notes","partID","partLabel","partType","partDesc","partInstr","domainID","specimenSet","compartSet","groupID","classID","nomenclatureID","ontologyRef","latExp","catSetID","unitSetID","aggScaleID","aggSetID","qualitySetID","status","firstReleased","lastUpdaed","changes","methodSteps","methodStepsRequired","methodStepsOrder","methodSets","methodSetsRequired","methodSetsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languageLUs","translationLUs","partLUs","setLUs","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","NWSS","NWSS_process","NWSS_notes","ENA","ENA_notes","NORMAN","NORMAN_note","W_SPHERE","W_SPHERE_Notes","version1Table...83","version1Location","version1Table...85","version1Variable","version1Category","version1to2Changes"
NA,NA,"academ","Academic institution organization type","category","The category of organization type used for academic institutions or research groups.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","orgTypeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","10","Organisation de type d'institution académique","La catégorie de type d'organisation utilisée pour les institutions universitaires ou les groupes de recherche.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"acti","Number of active cases","unit","Number of active cases.","NA","Bio","poSpecimen","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"$people$","NA","naUnitSet","NA","naAggrSet","genQualitySet","active","1.0","2.0","now a unit for any group or biologic infection","input","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","integer","0","NA","0","30","Nombre de cas actifs","Nombre de cas actifs.","NA","not included",NA,NA,"not included",NA,NA,NA,"Population Served",NA,"CovidPublicHealthData","variableCategories",NA,"type","active",NA
NA,NA,"active","Active","category","Indicator to say that a part is in current use in the model. See partID = status","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","statusCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","30","actif","Indicateur permettant de dire qu'une pièce est en cours d'utilisation dans le modèle. Voir partID = status","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Update in line with Github Issue #211","aDate","Analysis date","attribute","Date the measurement was performed in the lab.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","datetime","NA","NA","0","30","Date d'analyse","Date à laquelle la mesure a été effectuée au laboratoire.","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"WWMeasure; SiteMeasure","variables",NA,NA,"NA","Maintain?"
NA,NA,"measRepID","Measure report ID","attribute","Unique identifier a measurement within the Measure table.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","pK","mandatory","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","ID du rapport de mesure","Identifiant unique pour la mesure pour la table ""WWMeasurement""","NA","not included",NA,NA,"not included",NA,NA,NA,"not included",NA,"WWMeasure","variables",NA,"uWwMeasureID","NA","update for all eniviromental samples"
NA,NA,"mSRID","Method set report ID","attribute","The composite key generated by combining method set ID and set Index.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","pK","mandatory","1","fK","optional","2","fK","mandatory","2","NA","NA","NA","NA","NA","NA","fK","optional","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","15","ID du rapport de l'ensemble des méthodes","La clé composite générée en combinant l'ID de l'ensemble de la méthode et l'index de l'ensemble.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"parSampID","Parent sample ID","attribute","If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fK","optional","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","ID de l'échantillon parental","Si l'échantillon a été combiné à un plus grand échantillon, indiquer l'identifiant du plus grand échantillon.","NA",NA,NA,NA,NA,NA,NA,NA,"Sample ID",NA,"Sample","variables",NA,"parent","NA","NA"
NA,NA,"instID","Instrument ID","attribute","A unique identifier for an instrument.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.1","2.0","description wording, structure","fK","optional","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","pK","mandatory","1","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","0","10","ID de l'instrument","Identifiant unique pour l'instrument de mesure.","NA","not included",NA,NA,"not included",NA,NA,NA,"not included",NA,"Instrument","variables",NA,"instrumentID","NA","NA"
NA,NA,"addresses","Address Table","table","The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.","adapt from verson 1 documentation","naDomain","naSpecimenSet","naCompartmentSet","naGroup","programDescription","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","NA","Table d'adresses","La table qui contient de l'information sur les adresses.","NA","not included",NA,NA,NA,NA,"Address of contact","Serial no.","Address Line",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"parSiteID","Parent Site ID","attribute","The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.","An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","fK","optional","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","ID du site parentale","L'ID du site qui est le parent d'un autre site ; généralement, le sous-site est contenu dans le site parent.","Un exemple serait un test de surface dans un établissement de soins de longue durée. L'établissement de SLD serait le parentSiteID, et les différentes pièces/surfaces seraient les sous-sites ou les sites enfants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"afu","Air filtration unit","category","Air filtration or circulating unit.","Typically the unit would have a fan or blower.","naDomain","saSpecimen","airCompartment","colGrp","naClass","naNomenclature",NA,"NA","sampleMatCat","naUnitSet","NA","naAggrSet","genQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","30","Unité de filtration d'air","Unité de filtration ou de circulation d'air.","L'unité est généralement équipée d'un ventilateur ou d'une soufflerie.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"partType cateogory","aggregation","Aggregation Part Type","dictionary","Statistical measures used to report a measure. Each dataType that is a number should be reported with an aggregation.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","partTypeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","NA","NA","Agrégation","Mesures statistiques utilisées pour rendre compte d'une mesure. Chaque dataType qui est un nombre doit être rapporté avec une agrégation.","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"sampleID","Sample ID","attribute","Unique identifier for sample. Suggestion:siteID-date-index.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","1.1","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","fK","mandatory-if","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","pK","mandatory","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","10","ID de l'échantillon","Identifiant unique pour l'échantillon. Suggestion:siteID-date-index.","NA","sample_id",NA,NA,"not included",NA,NA,NA,"Sample ID","Samples","Sample","variables",NA,"sampleID","NA","NA"
NA,NA,"aggScaleID","Aggregation Scale ID","attribute","A scale used for an aggregation. See partID = … Only applicable for measures and units.","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","categorical","NA","NA","0","12","ID d'échelle d'agrégation","Une échelle utilisée pour une agrégation. Voir partID = ...","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"aggSet","Aggregation Set Part Type","dictionary","The part type for aggregation sets.","Only used for the dictionary entries of parts.","naDomain","naSpecimenSet","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","partTypeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","input","NA","varchar","NA","NA","0","15","Type de partie d'ensemble d'agrégations","Le type de partie pour les ensembles d'agrégation.","Utilisé uniquement pour les entrées du dictionnaire relatives aux parties.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"aggSetID","Aggregation Set ID","attribute","The ID for an aggreatation set. Mainly applicable to partType =  ""units"".","NA","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","header","NA","NA","categorical","NA","NA","0","12","ID de l'ensemble d'agrégation","L'ID d'un ensemble d'agrégations. S'applique principalements aux ""partType = units"".","NA","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"ai","Inhibition present but addressed","quality","The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.","NA","Bio","saSpecimen","anyCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","pcrQualitySet","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","NA","NA","AI","L'échantillon original était inhibé ; cependant, l'inhibition a été traitée par dilution. L'estimation de la concentration rapportée est le résultat actualisé après traitement de l'inhibition.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"airCompartment","Air compartment set","compSetPT","A compartment set for measures and methods in the air compartment.","NA","allDo","anySpecimen","airCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","15","Ensemble de compartiments d’air","Un ensemble de compartiments pour les mesures et méthodes dans le compartiment air.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"purposeID","Purpose","attribute","The reason the measure or sample was taken.","See allowed categories: report, quality control, validation study, test","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","purposeCat","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","NA","NA","NA","NA","NA","NA","NA","fK","optional","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","fK","optional","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","categorical","NA","NA","NA","NA","Objectif","La raison pour laquelle la mesure ou l'échantillon a été prélevé.","Voir les catégories autorisées : rapport, contrôle de qualité, étude de validation, test.","not included",NA,NA,NA,NA,NA,NA,"not included",NA,"NA","NA",NA,"NA","NA","NA"
NA,NA,"airSurfaceCompartment","Air and surface compartment set","compSetPT","A compartment set for measures and methods in the air or surface compartments.","NA","allDo","anySpecimen","airSurfaceCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","15","Ensemble de compartiments de surface et d'air.","Un ensemble de compartiments pour les mesures et les méthodes dans les compartiments de l'air ou de la surface.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"airTemp","Environmental Temperature","measure","Environmental temperature.","NA","Phy","siSpecimen","anyCompartment","siteFeat","tempClass","naNomenclature",NA,"NA","NA","temperatureUnits","see unit","naAggrSet","genQualitySet","active","1.0","2.0","description wording, structure","NA","NA","NA","NA","NA","NA","input","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","float","NA","NA","0","30","Température ambiante","Température ambiante.","NA","not included",NA,NA,"temperature",NA,NA,NA,"not included",NA,"SiteMeasure","variableCategories",NA,"type","envTemp","We may want one temperature, then the full part name indicates speciment, compartment, etc."
NA,NA,"airWaterCompartment","Air and water compartment set","compSetPT","A compartment set for measures and methods in the air or water compartments.","NA","allDo","anySpecimen","airWaterCompartment","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","active","2.0","2.0","added in V2.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","input","NA","NA","varchar","NA","NA","0","15","Ensemble de compartiments d’eau et d'air.","Un ensemble de compartiments pour les mesures et les méthodes dans les compartiments air ou eau.","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Depreciate. Notes about other simiar assays can go into notes","alias","Alias","attribute","ID of an assay that is the same or similar. A comma separated list.","Deprecated as of version 2, please avoid use. Use notes instead.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,"NA","NA","naUnitSet","NA","naAggrSet","NA","depreciated","1.0","2.0","depreciated","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","varchar","NA","NA","0","10","Alias","Identifiants d'autres instruments présents dans la table qui sont similaires é l'instrument courant. Insérer sous forme de liste séparée par des virgules.","NA","not included",NA,NA,"not included",NA,NA,NA,"not included",NA,"Instrument","variables",NA,"alias","NA","depricate???"
