Version,2.0.0,,,,,,,
lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
eng,addresses,Address table,"The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals).","The Sites, Organizations, and Contacts tables include a link to the addresses table through Address ID.",2.0.0,2.0.0,NA,
eng,addressesOrder,Addresses table column order,Specifies the order of the columns in the Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,addressesRequired,Address table required headers,Specifies the columns required in a Addresses table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,addressID,Address ID,A unique identifier for an address.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,admRegLevel,Administrative regions,Administrative regions,NA,2.0.0,2.0.0,added in V2.0.0,
eng,afu,Air filter,Air filter as part of filtration or circulating unit.,Typically the unit would have a fan or blower.,2.0.0,2.0.0,added in V2.0.0,
eng,aggragationScale,Aggregation scale,A scale used for an aggregation. Only applicable for measures and units.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aggregation,Aggregation,Statistical measures used to report a measure. Each aggregation has a corresponding value.,"The default aggregation is `single`, which corresponds to a single measurement.",1.0.0,2.0.0,restructured,
eng,aggregations,Aggregations,Statistical measures used to report a measure. Each measure reported as a number should be reported with an aggregation.,"The default aggregation is `single`, which corresponds to a single measurement.",2.0.0,2.0.0,added in V2.0.0,
eng,aggregationScales,Aggregation scales,The scale of an aggregation set. Aggregation scales include quantitative and qualitative.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aggregationSet,Aggregation set,The aggregation set for a unit.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aggregationSets,Aggregation sets,Sets of aggregations.,"Examples of aggregation sets include logarithm, linear and boolean.",2.0.0,2.0.0,added in V2.0.0,
eng,air,Air compartment,A measure or observation made from a substance in the air.,NA,2.0.0,2.0.0,"added in V2.0, changed to partType = compartment",
eng,airCompartmentSet,Air compartment set,A compartment set for measures and methods in the air compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,airpln,Airplane,Airplane,NA,1.0.0,2.0.0,"description wording, structure",
eng,airport,Airport,Airport Sample Shed category type,NA,2.0.0,2.0.0,added in V2.0.0,
eng,airportLists,Airport lists worksheet,Parts lists used to generate airport and airplane data entry templates.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,airSurfaceCompartmentSet,Air and surface compartment set,A compartment set for measures and methods in the air or surface compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,airTemp,Environmental temperature,Environmental temperature.,NA,1.0.0,2.0.0,"description wording, structure",
eng,airWaterCompartmentSet,Air and water compartment set,A compartment set for measures and methods in the air or water compartments.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,aliasDep,Alias depreciated,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead.",1.0.0,2.0.0,depreciated,
eng,aliasIDDep,Alias ID depreciated,Alias id,ID of an assay that is the same or similar. a comma separated list.,1.0.0,2.0.0,depreciated,
eng,allDo,All domains,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,allele,Alleles class,Measures and methods related to alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,alleleUnitSet,Allele unit set,Unit set for alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,allOrgs,Access to all org,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA,1.0.0,2.0.0,depreciated,
eng,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,amDefDep,Assay method id default depreciated,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,depreciated,
eng,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,amp,Amplicon sequencing,Specifies the amplicon strategy for genetic sequencing,NA,2.0.0,2.0.0,added in V2.0.0,
eng,andBoo,AND Boolean aggregation,"""AND"" aggreation.","If all values in the aggregation is ""TRUE"" then the AND aggregation is also ""TRUE"". If all values in the aggregation is ""FALSE"" then the AND aggregation is also ""TRUE"".",2.0.0,2.0.0,added in V2.0.0,
eng,anyCompartmentSet,Any compartment set,A compartment set for measures and methods in any compartment.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,anySpecimenSet,Any specimen set,A specimen set that inculdes any specimen.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,areaPr,Area proportional sample,An area proportional sample.,Used for surface testing.,2.0.0,2.0.0,added in V2.0.0,
eng,arTemp,Arrival temperature,The temperature of a sample upon arrival at the laboratory for analysis.,NA,1.0.0,2.0.0,added in V2.0.0,
eng,articV3,Use of the articV3 primer,Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,articV4,Use of the articV4 primer,Artic V4 sequencing primer for VOCs and VOIs.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,asID,Assay ID,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead.",1.0.0,2.0.0,"depreciated, now covered by partID = methodID",
eng,attributes,Attributes,"Attributes describe the who, where, when, and why of environmental surveillance.","There are attributes for domain, specimen, compartment, or table. Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.",2.0.0,2.0.0,added in V2.0.0,
eng,bacteria,Bacteria Class,Measures and methods relating to bacteria.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bacteriaUnitSet,Bacteria unit set,Unit set for bacteria-related measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bactMisc,Miscellaneous bacteria group,A group of measures/methods related to miscellaneous bacteria.,"The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions.",2.0.0,2.0.0,added in V2.0.0,
eng,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,bcov,bcov,Measure of the amount of bovine coronavirus.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bcovCul,bcov culture spike target,Cultured bovine coronavirus is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bcovVac,bcov vaccine spike target,The bovine coronavirus vaccine is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,beeExtractFloc,Beef extract flocculation,Beef extract flocculation.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,before,Is Before,Specifies that the object step or protocol occurs before the subject step or protocol in the overall protocol container.,Use only for protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
eng,beta,Beta,B.1.351,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bio,Biologic,A living organism or biological substance.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bioRadDdpcr,Digital droplet emulsification PCR,Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,blob,Binary Large Object (BLOB) data type,The data type for Binary Large Object (BLOB) data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
eng,boc,Breadth of coverage (>=5x depth),Positions with read depth greater or equal to 5.,Report as percentage of positions.,2.0.0,2.0.0,Issue #120,
eng,bod5c,5-Day carbonaceous kiochemical oxygen demand,"The quantity of oxygen utilized for the biochemical degradation of organic matter under standard laboratory procedures in five (5) days in the presence of a nitrification inhibitor, expressed in milligrams per litre (mg/l).",NA,1.1.0,2.0.0,"description wording, structure",
eng,bod5t,5-day total biochemical oxygen demand,5 day total biochemical oxygen demand.,NA,1.1.0,2.0.0,"description wording, structure",
eng,boolean,Boolean data type,The data type for boolean/binary data.,Encoded as 'TRUE' or 'FALSE',2.0.0,2.0.0,added in V2.0.0,
eng,booleanAggrSet,Boolean aggregation set,Aggreagation set for boolean.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,booleanSet,Boolean value set,Set that contains the valid possible values for a boolean measure (TRUE or FALSE).,NA,2.0.0,2.0.0,added in V2.0.0,
eng,brsv,Bovine respiratory syncytial virus group,Bovine respiratory syncytial virus.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,brsvCul,brsv culture spike target,Cultured bovine respiratory syncytial virus (BRSV) is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,brsvN,BRSV-N,bovine respiratory syncytial virus capsid protein gene region,NA,1.0.0,2.0.0,added in V2.0.0,
eng,brsvVac,brsv vaccine spike target,The bovine respiratory syncytial virus (BRSV) vaccine is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,bSwrPpl,Branch sewer pipleline,"Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.",NA,1.0.0,2.0.0,"description wording, structure",
eng,buildCO,Building cleanout,Specifies a site type that is a capped pipe that connects to a building's main sewer line.,NA,1.0.0,2.0.0,"description wording, structure",
eng,capacity,Capacity class,Measures and methods relating to capacity.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,capacityUnitSet,Capacity unit set,Unit set for capacity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,caRepDate,Case report date,"Date that the numbers were reported publicly. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,depreciated,
eng,categorical,Categorical data type,The data type for categorical data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
eng,categories,Categories,"A discrete list of values that can be reported for a measure, method or attribute.","A use-case example of categories would be how they are used to record the site where a measure is taken (partID = geoType). For the geoType attribute there are different type of sites where samples can be taken: a wastwater treatment plant, airplane holding tank, wastwater pumping station, etc. Each of these site types is recorded as a category that can be identified in categorySetID = sTypeCatSets",2.0.0,2.0.0,added in V2.0.0,
eng,ccc,Long-term acute care hospital,"Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,cdc,Child day care,Child day care facility.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,cel,Degrees Celcius,Degrees Celsius.,NA,1.1.0,2.0.0,description wording.,
eng,cent,Centrifugation,Describes solid separation from a wastewater sample via centrifugation. Likely connected to other method steps prior to analysis.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,centriconUf,Centricon ultrafiltration,Centricon ultrafiltration.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,ceres,Ceres nanotrap,Ceres nanotrap.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,cfu,CFU per 100 ml,Colony forming units per 100 ml of filtered sample.,NA,1.1.0,2.0.0,description wording.,
eng,changes,Changes column,A column for recording the changes from a previous version.,Use this column as a short-hand change log for dictionary development.,2.0.0,2.0.0,added in V2.0.0,
eng,che,Chemical,A chemical compound.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,chemVir,Chemagic viral dna/rna 300 kit,Nucleic acid extraction performed using the chemagic viral dna/rna 300 kit.,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
eng,child,Child relationship,Indicated that this is a sample generated from (an)other sample(s) either because of pooling or sub-sampling.,NA,1.0.0,2.0.0,changed to a relationshipID value.,
eng,city,City,The city where a site or organization is located; part of the address.,NA,1.0.0,2.0.0,"description wording, structure",
eng,clari,Clarified sample,Clarified sample.,NA,1.0.0,2.0.0,NA,
eng,class,Class,"A unique identifier for a class, which is akin to a sub-group; it's a way of grouping parts within a given group. A group can have one or more classes to describe different parts of the class.","Currently, class is only used for biologics. For example, SARS-CoV-2 is a group of measures with the following classes of allele, variant, mutation, sequence, and protein.",2.0.0,2.0.0,added in V2.0.0,
eng,classes,Classes,A class is a collection of one or more related measures or methods within a group. A group can have one more more classes to describe different parts or the class.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,cloudy,Cloudy,"Qualitative category for the weather measure, specifying an overcast day with no rain.",NA,2.0.0,2.0.0,added in V2.0; github issue #124 and #204,
eng,cm,Centimetres,Unit part for the SI unit of centimetres.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,co2,Carbon Dioxide,A measure of an amount or concentraion of carbon dioxide.,NA,2.0.0,2.0.0,added in V2.0; github issue #202,
eng,cod,Chemical Oxygen Demand,Chemical oxygen demand.,NA,1.0.0,2.0.0,"description wording, structure",
eng,colGrp,Collection group,A group of measurement-like attributes related to sample collection.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,collDT,Collection date time,"For grab samples this is the date, time and timezone the sample was taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
eng,collDTEnd,Collection date time end,"For integrated time average samples this is the date, time and timezone the sample was finished being taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
eng,collDTStart,Collection date time start,"For integrated time averaged samples this is the date, time and timezone the sample was started being taken.",NA,1.0.0,2.0.0,Update in line with Github Issue #211,
eng,collectSet,Sample collection set,Methods for collection samples.,"Sample collection methods include water, air, and surface. See the attribute `Compartment set` of the sample collection method.",2.0.0,2.0.0,added in V2.0.0,
eng,collNum,Collection number,"The number of subsamples that were combined to create the sample. Use NA for continuous, proportional or passive sampling.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,collNumPer,Collection number and period,Composite collection number.period.,"This a composite measure that combines `collection period` (collPer) and `collection number` (collNum). Collection number and period can be used to reduce the number of table headings during data collection. In data storage, `collNum` and `collPeriod` should be transformed to `collPer` and `collNum`. For Grab sample, Surface swab, or Area proportional sample just enter 1

In case of Composite, Flow-proportional collection, the number of subsamples followed by a dot, followed by the period of the sampling, in hours.
For example, for 4 composite subsamples covering a 8 hours period, the entry would be 4.2
For time-proportional 24 subsamples collected every hour, the entry would be 24.1
For volume-proportional, the entry for 24 subsamples collected over 24 hours should be 24.24, in this case the period part of the entry should be understood as the total collection time instead of the periodicity of the collection.

For a COSCA ball or Moore swab collecting for 24 hours, the entry would be 1.24",2.0.0,2.0.0,added in V2.0.0,
eng,collPer,Collection period,"Collection period. The time period over which the sample was collected, in hours. Alternatively, use collectionStart and collectionEnd.","Examples: 1 hour, 6 hours, 24 hours",2.0.0,2.0.0,added in V2.0.0,
eng,collType,Sample collection type,The type of collection.,NA,1.0.0,2.0.0,description wording,
eng,colocated,Co-located sample,"Second or multiples samples collected at same location but different time (water, air) or at a nearby location (soil, sediment). Sent blind to laboratory.",NA,2.0.0,2.0.0,added in V2.0; GitHub issue #94,
eng,columnNameDep,Column name depreciiated,Name for the column,Depreciated in ODM version 2. Look-up tables are now incoprated into parts and sets.,1.0.0,2.0.0,depreciated,
eng,comp,Composite sample - archival,"A composite sample, usually generated by an autosampler.","This is intended for use in updating and mapping archival data into the newest version of the ODM. Generally, autosamplers do time or flow-proportional sampling, and so those collection methods should be used instead. This is only for composite/autosampler samples where these additional details have not yet been specified. Use collectionPeriod to describe how many hours the sample was taken, and collectionNum to record the number of samples.",1.0.0,2.0.0,"description wording, structure",
eng,comp3,Composite grab sample of 3,A grab-composite sample composed of 3 separate grab samples.,NA,1.0.0,2.0.0,Use grab with collection number (collectNum) = 3,
eng,comp3dep,Composite grab sample of 3 depreciate,A grab-composite sample composed of 3 separate grab samples.,"Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
eng,comp3h,Composite 3hr grab sample,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.",NA,1.0.0,2.0.0,Use grab with collection period (collectPer) = 3,
eng,comp3hdep,Composite 3hr grab sample depreciate,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
eng,comp8h,Composite 8hr grab sample depreciated,"An 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
eng,comp8hDep,Composite 8hr grab sample deprecated,"A 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.",NA,1.0.0,2.0.0,Use grab with collection period (collectPer) = 8,
eng,compartment,Compartment,"The attribute identifying the substance from which where a sample was taken. For more information, see partID = compartment.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,compartments,Compartments,The substance from which a sample was taken.,"For example, wastewater has component of ""water"". Compartments are attributes of measures, methods, units, and aggregations.",2.0.0,2.0.0,added in V2.0.0,
eng,compartmentSets,Compartment sets,Sets of compartments.,"Compartment sets are used to identify when a measure can be recorded for more than one compartment. For example, SARS-CoV-2 can be measured in people (humans), water, surface, or air.",2.0.0,2.0.0,added in V2.0.0,
eng,conc,Sample concentrate,Sample concentrate.,NA,1.0.0,2.0.0,NA,
eng,conCase,Confirmed Cases Case report date,"Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,concurrent,Is concurrent to,Specifies that the object step or protocol occurs at the same time as the subject step or protocol in the overall protocol container.,Use only for protocolRelationships table relationshipID.,2.0.0,2.0.0,added in V2.0.0,
eng,cond,Water conductivity,Measurement of conductivity of sample or site.,NA,1.0.0,2.0.0,"description wording, structure",
eng,conductivity,Conductivity class,Measures and methods related to conductivity.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,conductivityUnitSet,Conductivity unit set,Unit set related to conductivity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,conf,Number of confirmed cases,Number of confirmed cases.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,confEp,Confirmed cases episode date,"Episode date is the earliest of onset, test or reported date for a confirmed case.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,confOn,Confirmed Cases Onset date,"Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,contactID,Contact ID,A unique identifier for a given contact person.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,contactName,Contact name,"Contact person or group, for the lab.",Depreciated in ODM version 2. see 'name',1.0.0,2.0.0,"depreciated, now use partID = firstName and partID = lastName instead",
eng,contacts,Contact table,The table that contains information about a contact; a person who is the contact of a site or laboratory.,adapt from verson 1 documentation,2.0.0,2.0.0,added in V2.0.0,
eng,contactsOrder,Contacts table column order,Specifies the order of the columns in a Contacts table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,contactsRequired,Contact table required headers,Specifies the columns required in a Contacts table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,contactTableSet,Contact table set,"Tables are where measures, methods and attributes are recorded. Tables represent the main entities of the environmental surveillance.",NA,2.0.0,2.0.0,added in V2.0.0,
eng,conTest,Confirmed cases test date,Date that the covid-19 test was performed for a confirmed case.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
eng,corFcil,Cphd ID,Correctional facility,NA,1.0.0,2.0.0,"description wording, structure",
eng,cosca,COSCa ball,COSCa passive sampling device.,Use collectionPeriod to describe how many hours the ball was used to collect the sample,2.0.0,2.0.0,added in V2.0.0,
eng,country,Country,The country where a site or organization is located; part of the address.,NA,1.0.0,2.0.0,"description wording, structure",
eng,countryLevel,Countries or sovereign states,Countries or sovereign states,NA,2.0.0,2.0.0,added in V2.0.0,
eng,countyLevel,"Districts, counties, regions","Districts, counties, regions",NA,2.0.0,2.0.0,added in V2.0.0,
eng,cov,Covid-19,Covid-19 infection.,"Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits.",2.0.0,2.0.0,added in V2.0.0,
eng,cov2Me,SARS-CoV-2 measure,Measure the amount of SARS-CoV-2 virus.,This measure should only be used if there is no other SARS-CoV-2 measure. See groupID = sarsCov2. Use a note to describe the specific measure used.,2.0.0,2.0.0,added in V2.0.0,
eng,covB117,SARS-CoV-2-B.1.1.7,Variant B.1.1.7 of the SARS-CoV-2 virus.,NA,1.1.0,2.0.0,added in V2.0.0,
eng,covB135,SARS-CoV-2-B.1.351,Variant B.1.351 of the SARS-CoV-2 virus.,NA,1.1.0,2.0.0,added in V2.0.0,
eng,covE,SARS-CoV-2-E,SARS-CoV-2 E gene.,NA,1.0.0,2.0.0,"description wording, structure",
eng,covN1,SARS-CoV-2-N1,"SARS-CoV-2 nucleocapsid gene, allele 1.",NA,1.0.0,2.0.0,"description wording, structure",
eng,covN2,SARS-CoV-2-N2,"SARS-CoV-2 nucleocapsid gene, allele 2.",NA,1.0.0,2.0.0,"description wording, structure",
eng,covN3,SARS-CoV-2-N3,"SARS-CoV-2 nucleocapsid gene, allele 3.",NA,1.0.0,2.0.0,"description wording, structure",
eng,covP1,SARS-CoV-2-P.1,Variant P.1 of the SARS-CoV-2 virus.,NA,1.1.0,2.0.0,"description wording, structure",
eng,covRdrp,SARS-CoV-2-RdRp,SARS-CoV-2 RdRp gene.,NA,1.0.0,2.0.0,"description wording, structure",
eng,cphDate,Covid-19 population measurement date,date of reporting for covid-19 measure.,Depreciated in ODM version 2. The measure identication is now measureReportID with report dates as for any measure report.,1.0.0,2.0.0,"depreciated, measure identication is now found in partID = measureRepID, with date fields for any measure report.",
eng,cphid,Cphd ID,Unique identifier for the table.,Depreciated in ODM version 2. The measure identication is now measureReportID.,1.0.0,2.0.0,"depreciated, measure identication is now found in partID = measureRepID",
eng,cra,crAssphage-N,crAssphage virus capsid protein gene region,NA,1.0.0,2.0.0,"description wording, structure",
eng,crosswalkTableSet,Crosswalk table set,Tables used to translate to and from other environmental dictionaries and models.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ct,Cycle threshold or quantification cycle (Ct or Cq),Cycle thresholds in a PCR assay.,NA,1.0.0,2.0.0,description wording.,
eng,cuCo,Cumulative count,Units for describing a population measure of a cumulative count of cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
eng,custodyCont,Custody Contact ID,A unique identifier for data custodians.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,custodyID,Data custodian ID,The data custodian of a database.,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the data custodian.",2.0.0,2.0.0,added in V2.0; github issue #205,
eng,d377y,d377y delta-variant gene target,d377y delta-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,d3g,d3g omicron-variant gene target,d3g omicron-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,d63g,d63g delta-variant gene target,d63g delta-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,d796y,d796y omicron-variant gene target,d796y omicron-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,d950n,d950n delta-variant gene target,d950n delta-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,daiCo,Daily count,Units for describing a population measure of a daily count of new cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
eng,datasetDate,Dataset creation date,Specifies the date a given dataset was created.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,datasetID,Dataset ID,"The name of the dataset that stores information for MeasureReport, SampleReport and other reporting tables.","Where possible, datasetID name should correspond the orignial data custodian responsible for generating environmental data. (suggestion for a default name convention.)",2.0.0,2.0.0,added in V2.0; github issue #205,
eng,datasets,Dataset table,A report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,datasetsOrder,Datasets table column order,Specifies the order of the columns in a Datasets table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,datasetsRequired,Dataset table required headers,Specifies the columns required in a Datasets table.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,dataTypes,Data types,The data type for a part.,"Data types used in the ODM include: varchar, booleen, float, category, date, time, datetime, url, email. dataType corresponds the the entry or cell within a data table, most commonly within a report table. If the data entry has a unit, then the dataType corresponds to the unit and the dataType refers to 'unit'. If the data entry is a category, then the dataType refers to 'category'. All categories are varchar. Otherwise the dataType is identifed within the part entry. TBA: dataType for dictionary.",2.0.0,2.0.0,added in V2.0.0,
eng,date,Date,Date,date on which the assayMethod was created or updated (for version update).,1.0.0,2.0.0,"depreciate, update in line with Github Issue #211",
eng,datetime,Datetime data type,The data type for date and time data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
eng,days,Days,A unit for indicating a length of time in days.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ddcovE,ddcov_e sars-cov-2 gene target,ddcov_e sars-cov-2 gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,ddcovN,ddcov_n sars-cov-2 gene target,ddcov_n sars-cov-2 gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,death,Deaths,Units for describing a population measure of patients who have died from a given cause.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
eng,del143,del143/145,143 or 145 deletion omicron-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
eng,del157,del 157/158,157 or 158 deletion delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
eng,del2084,del2084/2084,2084 or 2084 deletion omicron-variant gene target.,NA,2.0.0,2.0.0,added in V2.0.0,
