setID (partID),setType,setValues (partID),label,notes,instructions,status,firstReleased,lastReleased,descChange
seqQualitySet,quality,noTime,Sample missing time stamp,,,active,2.0,2.0,
seqQualitySet,quality,seqQualitySet,Sequencing Quality Set,,,active,2.0,2.0,
seqQualitySet,quality,SC,Sparse coverage,,,active,2.0,2.0,
seqQualitySet,quality,LBC,Low breadth of coverage,,,active,2.0,2.0,
seqQualitySet,quality,LDC,Low depth of coverage,,,active,2.0,2.0,
seqQualitySet,quality,WI,Wide 95% interval,,,active,2.0,2.0,
otherAggrs,aggregation,sin,Single,,,active,2.0,2.0,
otherAggrs,aggregation,me,Arithmetic Mean,,,active,2.0,2.0,
otherAggrs,aggregation,med,Median,,,active,2.0,2.0,
otherAggrs,aggregation,min,Minimum Value,,,active,2.0,2.0,
otherAggrs,aggregation,max,Maximum Value,,,active,2.0,2.0,
otherAggrs,aggregation,sd,Standard Deviation,,,active,2.0,2.0,
otherAggrs,aggregation,sin,Single,,,active,2.0,2.0,
otherAggrs,aggregation,min,Minimum Value,,,active,2.0,2.0,
otherAggrs,aggregation,max,Maximum Value,,,active,2.0,2.0,
otherAggrs,aggregation,gmn,Geometric Mean,,,active,2.0,2.0,
otherAggrs,aggregation,booleanAggr,Boolean aggregation,,,active,2.0,2.0,
otherAggrs,aggregation,naAggregation,Aggregation not applicable,,,active,2.0,2.0,
naSpecimenSet,specimenSets,naSpecimen,Specimen not applicable,,,active,2.0,2.0,
pcrQualitySet,quality,expFail,Experiment Failed,,,active,2.0,2.0,
seqQualitySet,quality,expFail,Experiment Failed,,,active,2.0,2.0,
