"partID","partLabel","partType","shortName","partDesc","partInstr","domain","specimenSet","compartmentSet","group","class","nomenclature","ontologyRef","latExp","mmaSet","unitSet","aggregationScale","aggregationSet","qualityIndSet","missingnessSet","status","firstReleased","lastUpdated","changes","protocolSteps","protocolStepsRequired","protocolStepsOrder","protocolRelationships","protocolRelationshipsRequired","protocolRelationshipsOrder","measures","measuresRequired","measuresOrder","measureSets","measureSetsRequired","measureSetsOrder","datasets","datasetsRequired","datasetsOrder","sites","sitesRequired","sitesOrder","samples","samplesRequired","samplesOrder","addresses","addressesRequired","addressesOrder","contacts","contactsRequired","contactsOrder","organizations","organizationsRequired","organizationsOrder","instruments","instrumentsRequired","instrumentsOrder","polygons","polygonsRequired","polygonsOrder","languages","languagesRequired","languagesOrder","translations","translationsRequired","translationsOrder","parts","partsRequired","partsOrder","sets","setsRequired","setsOrder","qualityReports","qualityReportsRequired","qualityReportsOrder","sampleRelationships","sampleRelationshipsRequired","sampleRelationshipsOrder","protocols","protocolsRequired","protocolsOrder","countries","countriesRequired","countriesOrder","zones","zonesRequired","zonesOrder","refLink","dataType","minValue","maxValue","minLength","maxLength","label_fr","partDescription_fr","partInstruction_fr","nwss","nwssProcess","nwssNotes","ena","enaNotes","norman","normanNote","wSphere","wSphereNotes","ncbi","phage","version1Table","version1Location","version1Variable","version1Category","version1to2Changes"
"active","Active","categories",NA,"Indicator that a part is in current use.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"actif","Indicateur permettant de dire qu'une pièce est en cours d'utilisation dans le modèle. Voir partID = status",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aDate","Analysis date","attributes",NA,"Date the measurement was performed in the lab.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.0.0","2.0.0","Github Issue #211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"datetime",NA,NA,0,30,"Date d'analyse","Date à laquelle la mesure a été effectuée au laboratoire.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variables","analysisDate",NA,"Maintain?"
"measureRepID","Report ID","attributes",NA,"Unique identifier for a measurement.","Report IDs cannot be repeated.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"pK","mandatory",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FK","mandatoryIf",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID du rapport de mesure","Identifiant unique pour la mesure pour la table ""WWMeasurement""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WWMeasure","variables","uWwMeasureID",NA,"update for all eniviromental samples"
"protocolID","Protocol ID","attributes",NA,"A unique identifier for a given protocol.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,"input",NA,NA,"fK","optional",2,"fK","optional",2,NA,NA,NA,NA,NA,NA,"fK","optional",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pK","mandatory",2,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID de protocoles","Un identifiant unique pour les protocoles donné.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ww_endog_control_1_protocol, ww_endog_control_2_protocol, ww_processing_protocol, ww_surv_target_1_protocol, ww_surv_target_2_protocol",NA,NA,NA,NA,NA,NA
"addL1","Address Line 1","attributes",NA,"Line 1 (the street name, number and direction) for a given address.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Ligne d'adresse 1","Ligne 1 (le nom de la rue, le numéro et la direction) pour une adresse donnée.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"geo_loc_name",NA,NA,NA,NA,NA,NA
"addL2","Address Line 2","attributes",NA,"Line 2 (the unit number) for a given address.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","optional",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Ligne d'adresse 2","Ligne 2 (le numéro de l'unité) pour une adresse donnée.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"geo_loc_name",NA,NA,NA,NA,NA,NA
"addresses","Address table","tables","ad","The table that contains information about addresses. Addresses can recorded for sites, organizations or contacts (indivduals). ","The Sites, Organizations, and Contacts tables include a link to the addresses table through Address ID.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","programDescr","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Table d'adresses","La table qui contient de l'information sur les adresses.",NA,NA,NA,NA,NA,NA,"Address of contact","Serial no. ","Address Line",NA,NA,NA,NA,NA,NA,NA,NA
"addressesOrder","Addresses table column order","tableSupport",NA,"Specifies the order of the columns in the Addresses table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integer","1",NA,NA,NA,"L’ordre des colonnes de la table d'adresses","Indique l’ordre des colonnes dans une table d'échantillon.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"addressesRequired","Address table required headers","tableSupport",NA,"Specifies the columns required in a Addresses table.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Exigences de la table d'adresses","Indique les colonnes requises dans une table d'adresses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"parSiteID","Parent Site ID","attributes",NA,"The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.","An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fK","optional",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID du site parentale","L'ID du site qui est le parent d'un autre site ; généralement, le sous-site est contenu dans le site parent.","Un exemple serait un test de surface dans un établissement de soins de longue durée. L'établissement de SLD serait le parentSiteID, et les différentes pièces/surfaces seraient les sous-sites ou les sites enfants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"admRegLevel","Administrative regions","attributes",NA,"Administrative regions",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","ISCU",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"nrNAMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Régions administratives","Régions administratives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adv40","Adenovirus 40","measurements",NA,"Adenovirus serotype 40.",NA,"bio","saSpecimenSet","anyCompartmentSet","virusMisc","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Adénovirus 40","Adénovirus de sérotype 40.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adv41","Adenovirus 41","measurements",NA,"Adenovirus serotype 41.",NA,"bio","saSpecimenSet","anyCompartmentSet","virusMisc","allele","naNomenclature",NA,NA,NA,"geneticUnitSet","seeUnitAggScale","otherAggrSet","pcrQualitySet","genMissingnessSet","active","2.1.0","2.1.0","added in V2.1.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Adénovirus 41","Adénovirus de sérotype 41.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"afu","Air filter","categories",NA,"Air filter as part of filtration or circulating unit. ","Typically the unit would have a fan or blower. ","naDomain","saSpecimenSet","airCompartmentSet","colGrp","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet","genQualitySet",NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"Unité de filtration d'air","Unité de filtration ou de circulation d'air. ","L'unité est généralement équipée d'un ventilateur ou d'une soufflerie. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aggragationScale","Aggregation scale","attributes",NA,"A scale used for an aggregation. Only applicable for measures and units.",NA,"naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"header","mandatory",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,12,"ID d'échelle d'agrégation","Une échelle utilisée pour une agrégation. Voir partID = ...",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sampleID","Sample ID","attributes",NA,"Unique identifier for a sample.","Suggestion:siteID-date-index.","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,"genMissingnessSet","active","1.1.0","2.0.0","description wording, structure",NA,NA,NA,NA,NA,NA,"fK","mandatory",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pK","mandatory",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FK","mandatoryIf",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"varchar",NA,NA,0,30,"ID de l'échantillon","Identifiant unique pour l'échantillon. Suggestion:siteID-date-index.",NA,"sample_id",NA,NA,NA,NA,NA,NA,"Sample ID","Samples"," ww_surv_system_sample_id",NA,"Sample","variables","sampleID",NA,NA
"aggregations","Aggregations","partType",NA,"Statistical measures used to report a measure. Each measure reported as a number should be reported with an aggregation.","The default aggregation is `single`, which corresponds to a single measurement. ","naDomain","naSpecimenSet","naCompartmentSet","naGroup","naClass","naNomenclature",NA,NA,NA,"naUnitSet",NA,"naAggrSet",NA,NA,"active","2.0.0","2.0.0","added in V2.0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"input",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"categorical",NA,NA,0,30,"Agrégation","Mesures statistiques utilisées pour rendre compte d'une mesure. Chaque dataType qui est un nombre doit être rapporté avec une agrégation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
