partID,label,partType,partDesc,partInstr,fKAliasID,domain,specimenSet,compartmentSet,group,class,nomenclature,ontologyRef,latExp,mmaSet,unitSet,aggregationScale,aggregationSet,qualityIndSet,missingnessSet,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,phActions,phActionsRequired,phActionsOrder,calculations,calculationsRequired,calculationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygonRelationships,polygonRelationshipsRequired,polygonRelationshipsOrder,polygons,polygonsRequired,polygonsOrder,accessions,accessionsRequired,accessionsOrder,languages,languagesRequired,languagesOrder,translations,translationsRequired,translationsOrder,parts,partsRequired,partsOrder,sets,setsRequired,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,countries,countriesRequired,countriesOrder,zones,zonesRequired,zonesOrder,wideNames,wideNamesRequired,wideNamesOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
edFac,Educational facility,categories,A school or other educational facility not otherwise specified.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
education,Education,categories,A measure or sample taken for education or training.,"Use this purpose, for example, when teaching how to use the PHES-ODM.",,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,input,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
efficient,Efficiency,units,The efficiency reported for a standard curve.,,,bio,saSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,$\%$,,naUnitSet,quantAggScale,linearAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,,,0,30
effluNS,Wastewater Effluent - non-specified,categories,"Sample material is wastewater effluent - whether primary, secondary or other is unspecified.",,,naDomain,naSpecimenSet,naCompartmentSet,colGrp,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
ehec,Enterohemorrhagic Escherichia coli (EHEC),measurements,Enterohemorrhagic Escherichia coli (EHEC),,,bio,saSpecimenSet,anyCompartmentSet,ecoliGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
eiec,Enteroinvasive Escherichia coli (EIEC),measurements,Enteroinvasive Escherichia coli (EIEC),,,bio,saSpecimenSet,anyCompartmentSet,ecoliGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
electricPotentSet,Electrical potential unit set,unitSets,Unit set for measurements of electrical potential.,,,naDomain,naSpecimenSet,anyCompartmentSet,naGroup,naClass,naNomenclature,,,,electricPotentSet,seeUnitAggScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
eluate,Eluate/Resuspended filter material retained,categories,"The eluate fraction, or material resuspended from filtration, is retained after solid separation/centrifugation.",,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,standardConc,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
elutionBuff,Elution buffer,categories,Elution buffer is used to resuspend material.,,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,standardConc,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
wideNameType,Wide name type,attributes,"The type of wide name generated. Possible options are measure, protocol or attribute.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fK,mandatoryIf,9,,varchar,,,0,30
embossCons,Emboss Cons,categories,"Sequencing software that is part of the EMBOSS suite, generates consensus sequences from multiple alignments.",,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,software,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bioinformatics.nl/cgi-bin/emboss/help/cons,varchar,,,0,50
emergSurv,Emergency targetted surveillance program,categories,A targeted surveillance strategy which is considered important and/or urgent.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,input,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
ena,European Nucleotide Archive (ENA),categories,European Nucleotide Archive (ENA).,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ebi.ac.uk/ena/browser/home,varchar,,,0,50
enaForm,ENA Format,categories,Dataset was originally recorded and/or stored in ENA format.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ebi.ac.uk/ena/browser/checklists,varchar,,,0,50
enaMap,European Nucleotide Association Mapping Column,attributes,ENA header,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
enaNotes,European Nucleotide Association (ENA) - notes,attributes,ENA notes,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,1000
enterobase,Enterobase archives,categories,Enterobase archives.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://enterobase.warwick.ac.uk,varchar,,,0,50
enterovirus,Enterovirus,measurements,Enterovirus,,,bio,saSpecimenSet,anyCompartmentSet,enterovirusGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
enterovirusGrp,Enterovirus Group,groups,A group of measures/methods related to enteroviruses.,Used to describe the organism information for general measures.,,bio,saSpecimenSet,anyCompartmentSet,enterovirusGrp,organism,naNomenclature,,,,naUnitSet,seeUnitAggScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
enumeration,Enumeration for set values,attributes,"The numeric value that corresponds to a given value in a set, defined in the sets table.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,header,mandatory,6,,,,,,,,,,,,,,,,,,,,integer,0,100,,
enviroInst,Temperature and pH probes,categories,"Local probe insturments for temperature or pH; allow monitoring of environmental conditions at sites, for example.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
envRnF,Rainfall,measurements,"Rainfall, i.e. amount of precipitation in the form of rain.",,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,precipitation,naNomenclature,,,,precipitationUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,1.0.0,2.0.0,"description wording, structure",input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,seeUnitVal,seeUnitVal,,
envSnwD,Ground snow depth,measurements,Total depth of snow on the ground.,,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,precipitation,naNomenclature,,,,precipitationUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,1.0.0,2.0.0,"description wording, structure",input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,seeUnitVal,seeUnitVal,,
envSnwF,Snowfall,measurements,"Snowfall, i.e. amount of precipitation in the form of snow.",,,phy,siSpecimenSet,anyCompartmentSet,siteFeat,precipitation,naNomenclature,,,,precipitationUnitSet,seeUnitAggScale,otherAggrSet,genQualitySet,genMissingnessSet,active,1.0.0,2.0.0,"description wording, structure",input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,seeUnitVal,seeUnitVal,,
epec,Enteropathogenic Escherichia coli (EPEC),measurements,Enteropathogenic Escherichia coli (EPEC),,,bio,saSpecimenSet,anyCompartmentSet,ecoliGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
epiDate,Episode date,categories,"Episode date is the earliest of onset, test or reported date.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,depreciated,1.0.0,2.0.0,depreciate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
epiMean,EpiWeek Mean,aggregations,The mean of all measures taken in one epiweek.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,quantAggScale,linearAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
epiWeek,EpiWeek Number,attributes,"The number of the epi week in which a sample what collected, or to which a measure would apply.",Used in conjunction with the epiYear field.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,header,optional,13,,,,,,,,,,header,optional,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,integer,1,52,,
epiWeekStart,EpiWeek Start Date,attributes,"Start date of a given epi week. Noted that not all epi weeks use the same start dates, despite being a standard, so including the start dat resolves the possible ambiguity.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,header,optional,12,,,,,,,,,,header,optional,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,date,,,0,30
epiYear,Year of the EpiWeek,attributes,The year in which the epi week is occuring.,Used in conjunction with the epiWeek field.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,header,optional,14,,,,,,,,,,header,optional,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,integer,1900,3000,,
epl10,Eclipse Public License 1.0,categories,The licensing for the measure or data set is managed under the Eclipse Public License 1.0.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://choosealicense.com/licenses/epl-1.0/,varchar,,,0,30
epl20,Eclipse Public License 2.0,categories,The licensing for the measure or data set is managed under the Eclipse Public License 2.0.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://choosealicense.com/licenses/epl-2.0/,varchar,,,0,30
measureRepID,Measure Report ID,attributes,Unique identifier for a measurement.,Report IDs cannot be repeated.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,genMissingnessSet,active,1.0.0,2.0.0,added in V2.0.0,,,,,,,pK,mandatory,1,,,,,,,,,,,,,,,,,,,,,,fK,optional,3,,,,,,,,,,,,,fK,optional,2,,,,,,,,,,,,,fK,mandatoryIf,2,,,,,,,,,,,,,,,,,varchar,,,0,30
erdTableSet,ERD table set,dictSets,All tables listed in the Entity Relationship Diagram. ,"The full ODM model is commonly referred to as ""long"" tables as it stores data with one measurement per row.",,naDomain,saSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
eSarbec,Sarbecovirus-specific E sars-cov-2 gene target,measurements,Sarbecovirus-specific E sars-cov-2 gene target,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
esbl,ESBL-encoding genes,measurements,Extended-spectrum beta-lactamase-encoding genes.,,,bio,saSpecimenSet,anyCompartmentSet,amrGrp,pcr,naNomenclature,,,,bacteriaUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,2.1.0,2.1.0,added in V2.1.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
esp,exclusions based sample preparation (ESP),categories,exclusions based sample preparation (ESP),,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,pcr,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
estFreqReads,Estimated frequency of reads,measurements,Estimated frequency of reads in a sequencing assay,,,bio,saSpecimenSet,anyCompartmentSet,procGrp,sequence,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,seqQualitySet,genMissingnessSet,active,2.0.0,2.0.0,added in V2.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
estimate,Estimated data,categories,"Estimated data, data that should be understood to be an estimation, possiblynot taken directly from sample measures.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,30
estuary,"Estuary, natural water body",categories,"Estuary, natural water body",,,naDomain,naSpecimenSet,naCompartmentSet,colGrp,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,1.0.0,2.0.0,"description wording, structure",,,,,,,input,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,varchar,,,0,30
etec,Enterotoxigenic Escherichia coli (ETEC),measurements,Enterotoxigenic Escherichia coli (ETEC),,,bio,saSpecimenSet,anyCompartmentSet,ecoliGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
eupl11,European Union Public License 1.1,categories,The licensing for the measure or data set is managed under the European Union Public License 1.1.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://choosealicense.com/licenses/eupl-1.1/,varchar,,,0,30
eupl12,European Union Public License 1.2,categories,The licensing for the measure or data set is managed under the European Union Public License 1.2.,,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.2.0,2.2.0,added in V2.2.0,,,,,,,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://choosealicense.com/licenses/eupl-1.2/,varchar,,,0,30
eve,Evening,categories,"Sample was collected in the evening, late in the day.",,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,timeClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,varchar,,,0,50
exceptions,Exceptions Part Type,partTypes,An exception part type for use in creating wide names that do not follow the general structure.,,,naDomain,naSpecimenSet,anyCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,input,,,,categorical,,,0,30
exoNnsp14,SARS-CoV-2 exoN gene (nsp14) ,measurements,SARS-CoV-2 exoN gene (nsp14) ,,,bio,saSpecimenSet,anyCompartmentSet,sarsCov2,pcr,naNomenclature,GENEPIO:0100170,,,geneticUnitSet,seeUnitAggScale,otherAggrSet,pcrQualitySet,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.1,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
expec,Extraintestinal pathogenic Escherichia coli (ExPEC),measurements,Extraintestinal pathogenic Escherichia coli (ExPEC),,,bio,saSpecimenSet,anyCompartmentSet,ecoliGrp,organism,naNomenclature,,,,geneticUnitSet,seeUnitAggScale,linearAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,seeUnitData,seeUnitVal,seeUnitVal,,
expFail,Experiment Failed,qualityIndicators,PCR experiment failed. No value reported.,Value should be blank for a measure with this qualityFlag value.,,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,varchar,,,0,30
extBlank,Extraction Blank - Control,methods,Binary Y/N indicator for if extraction blank was used as a control for the nucleic acid extraction process.,,,bio,saSpecimenSet,anyCompartmentSet,procGrp,standardConc,naNomenclature,,,booleanSet,unitlessUnitSet,qualAggScale,naAggrSet,pcrQualitySet,genMissingnessSet,active,2.2.0,2.2.0,added in V2.2.0,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,boolean,,,0,30
extract4s,4s method,categories,Nucleic acid extraction performed using the 4s method.,,,naDomain,naSpecimenSet,naCompartmentSet,procGrp,naClass,naNomenclature,,,,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n,varchar,,,0,30
extraction,Nucleic acid extraction method,methods,Description of the nucleic acid extraction method.,Description of the method used to extract the sample,,bio,saSpecimenSet,anyCompartmentSet,procGrp,pcr,naNomenclature,,,extractSet,unitlessUnitSet,qualAggScale,naAggrSet,genQualitySet,genMissingnessSet,active,1.0.0,2.0.0,description wording add categories from NWSS,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,categorical,,,0,100
extractRecov,Extraction Recovery Percent,measurements,The percentage of spiked in or endogenous compound used to assess extraction recovery of nucleic acids.,,,bio,saSpecimenSet,anyCompartmentSet,procGrp,pcr,naNomenclature,,,,percentUnitSet,quantAggScale,linearAggrSet,measQualitySet,genMissingnessSet,active,3.0.0,3.0.0,added in V3.0.0,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,integer,0,100,,
extractSet,Nucleic Acid Extraction set,mmaSets,set used for storing all the valid category values for the nucleic acid extraction method.,,,bio,naSpecimenSet,anyCompartmentSet,procGrp,standardConc,naNomenclature,,,extractSet,naUnitSet,naAggrScale,naAggrSet,,,active,2.0.0,2.0.0,added in V2.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,categorical,,,0,30
exvol,Extraction volume of sample,measurements,Extraction volume of sample.,Size of the sample that is analyzed.,,phy,saSpecimenSet,anyCompartmentSet,procGrp,physical,naNomenclature,,,,volumeUnitSet,seeUnitAggScale,linearAggrSet,genQualitySet,genMissingnessSet,active,1.0.0,2.0.0,description wording and unit set,input,,,,,,input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,input,,,,float,seeUnitVal,seeUnitVal,,
