Version,2.2.0,,,,,,,,
translationID,lang,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
tra000026,eng,caseRepDate,Report date of confirmed cases ,"Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
tra000027,eng,me,Arithmetic mean,Arithmetic mean.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000028,eng,conductivity,Conductivity class,Measures and methods related to conductivity.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000029,eng,med,Median,Median.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000030,eng,caseEpDate,Episode date of confirmed cases ,"Episode date is the earliest of onset, test or reported date for a confirmed case.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
tra000031,eng,caseOnDate,Onset date of confirmed cases ,"Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
tra000032,eng,caseTestDate,Test date of confirmed cases ,Date that the covid-19 test was performed for a confirmed case.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
tra000033,eng,cov,Covid-19,Covid-19 infection.,"Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits.",2.0.0,2.0.0,added in V2.0.0,
tra000034,eng,cov2Me,SARS-CoV-2 measure,Measure the amount of SARS-CoV-2 virus.,This measure should only be used if there is no other SARS-CoV-2 measure. See groupID = sarsCov2. Use a note to describe the specific measure used.,2.0.0,2.0.0,added in V2.0.0,
tra000035,eng,death,Deaths,Units for describing a population measure of patients who have died from a given cause.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
tra000036,eng,dilFact,Dilution factor,Specifies the extent to which a sample or aliquot was diluted prioir to analysis.,"Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution.",2.0.0,2.0.0,added in V2.0.0,
tra000037,eng,dilution,Dilution Class,Measures and methods relating to dilutions.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000038,eng,disease,Diseases (human) class,Measure and methods related to disease or infection in humans.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000039,eng,doc,Depth of coverage,The sequencing read depth.,Used to interpret the confidence in a presence or amount of a varient.,2.0.0,2.0.0,Issue #120,
tra000040,eng,ecoli,Escherichia coli,"Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife",NA,2.0.0,2.0.0,added in V2.0.0,
tra000041,eng,envRnF,Rainfall,"Rainfall, i.e. amount of precipitation in the form of rain.",NA,1.0.0,2.0.0,"description wording, structure",
tra000042,eng,envSnwD,Ground snow depth,Total depth of snow on the ground.,NA,1.0.0,2.0.0,"description wording, structure",
tra000043,eng,minVal,Minimum value,Lowest value in a range of values for a measure.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000044,eng,extraction,Nucleic acid extraction method,Description of the nucleic acid extraction method.,Description of the method used to extract the sample,1.0.0,2.0.0,description wording add categories from NWSS,
tra000045,eng,exvol,Extraction volume of sample,Extraction volume of sample.,Size of the sample that is analyzed.,1.0.0,2.0.0,description wording and unit set,
tra000046,eng,otherDep,Other aggregation depricated,Other aggregation method. Add description to aggregationOther,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
tra000047,eng,flow,Flow class,Measures and methods related to flow.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000048,eng,flowVol,Flow volume,Volume of influent.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000049,eng,flu,Influenza virus measure,General influenza virus measure,This measure should only be used if there is no other influenza virus measure. See groupID = virusMisc. Use a note to describe the specific measure used. ,2.0.0,2.0.0,added in V2.0.0,
tra000050,eng,fluA1,Influenza virus A1,Influenza virus A1 type,NA,2.0.0,2.0.0,added in V2.0.0,
tra000051,eng,fluA2,influenza virus A2,influenza virus A2 type,NA,2.0.0,2.0.0,added in V2.0.0,
tra000052,eng,fluB,Influenza virus B,Influenza virus B type,NA,2.0.0,2.0.0,added in V2.0.0,
tra000053,eng,frna,F-Specific RNA bacteriophages,A measure for amount of F-Specific RNA bacteriophages.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000054,eng,frnaG2,"F-Specific RNA bacteriophages, G2",A measure for amount of G2 F-Specific RNA bacteriophages.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000055,eng,inhibMe,Inhibition measure,Parameter to report whether or not inhibition was detected in the sample.,"Detected = TRUE, not detected = FALSE.",1.1.0,2.0.0,structure change,
tra000056,eng,gas,Gas class,Measures and methods relating to gas and gases.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000057,eng,gcD100,"gene copies per day per 100,000","The unit for measures reflecting the gene copies per day per 100,000 people in the population.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000058,eng,lod,Limit of detection (LOD),"Limit of detection, ie. the minimum level of a genetic target.",NA,1.1.0,2.0.0,added in V2.0.0,
tra000059,eng,gm3,Gram per cubic metre,Density unit.,Used for absolute humidity and other measures.,2.0.0,2.0.0,added in V2.0.0,
tra000060,eng,grams,Grams,A unit of mass or weight.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000061,eng,hepGRna,hep g armored rna,Measure of the amount Hepatitis G Armored RNA.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000062,eng,hollowFiberUF,Hollow fiber dead end ultrafiltration,Hollow fiber dead end ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000063,eng,sd,Standard deviation,Standard deviation.,NA,1.0.0,2.0.0,NA,
tra000064,eng,moorSw,Moore swab passive sample,Moore swab passive sample.,Use collectionPeriod to describe how many hours the Moore swab was used to collect the sample,1.0.0,2.0.0,added in V2.0.0,
tra000065,eng,humid,Humidity class,Measures and methods related to humidity.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000066,eng,icu,Intensive care unit patients,Units for describing a population measure of patients who are in intensive care due to a given cause.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
tra000067,eng,unitSet,Unit set,An idenfication of a set of units that can be used for a measure or method.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000068,eng,methodConc,Concentration method,Description of the method to concentrate a wastewater sample.,Description of the method used to concentrate the sample,1.0.0,2.0.0,added in V2.0.0,
tra000069,eng,innovaprepUF,Innovaprep ultrafiltration,Innovaprep ultrafiltration,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000070,eng,kgS,Kilogram per second,Kilograms per second.,NA,1.0.0,2.0.0,description wording.,
tra000071,eng,kl,Kilolitres,Kilolitres of volume,NA,2.0.0,2.0.0,added in V2.0.0,
tra000072,eng,l,Litres,Litres of volume,NA,2.0.0,2.0.0,New variable in category,
tra000073,eng,weath,Weather,A measure for weather captured through qualitative categories; part of a larger suite of weather measures that may be useful when collecting samples from outdoor sources.,NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
tra000074,eng,lodSewa,Limit of detection (LOD) - sewage,"Limit of detection, ie. the minimum level of a genetic target, for sewage samples.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000075,eng,oColDep,Other Collection depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
tra000076,eng,aliasIDDep,Alias ID depreciated,Alias id,ID of an assay that is the same or similar. a comma separated list.,1.0.0,2.0.0,depreciated,
tra000077,eng,mhv,Murine Hepatitis Virus,A measure for amount of murine hepatitis viurs.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000078,eng,ms2Col,ms2 coliphage,Measure of the amount of ms2 coliphage.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000079,eng,mu,Mu,B.1.621,NA,2.0.0,2.0.0,added in V2.0.0,
tra000080,eng,muCo,murine coronavirus,Measure of the amount of murine coronavirus.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000081,eng,n,N sars-cov-2 gene target,N sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000082,eng,n1n2,Combined N1 and N2 sars-cov-2 gene target,Combined N1 and N2 sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000083,eng,n211i,n211i omicron-variant gene target,n211i omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000084,eng,n679k,n679k omicron-variant gene target,n679k omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000085,eng,n856k,n856k omicron-variant gene target,n856k omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000086,eng,n969k,n969k omicron-variant gene target,n969k omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000087,eng,naUnit,Unit not applicable,Not appliable for units.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000088,eng,comp3,Composite grab sample of 3,A grab-composite sample composed of 3 separate grab samples.,NA,1.0.0,2.0.0,Use grab with collection number (collectNum) = 3,
tra000089,eng,niid19,niid_2019-ncov_n sars-cov-2 gene target,niid_2019-ncov_n sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000090,eng,date,Date,Date,date on which the assayMethod was created or updated (for version update).,1.0.0,2.0.0,"depreciate, update in line with Github Issue #211",
tra000091,eng,nSarbec,Sarbecovirus-specific N sars-cov-2 gene target,Sarbecovirus-specific N sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000092,eng,oc43,coronavirus OC43,Measure of the amount of coronavirus OC43.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000093,eng,comp3h,Composite 3hr grab sample,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.",NA,1.0.0,2.0.0,Use grab with collection period (collectPer) = 3,
tra000094,eng,orf1a,ORF1a sars-cov-2 gene target,ORF1a sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000095,eng,orf1ab,ORF1ab sars-cov-2 gene target,ORF1ab sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000096,eng,orf1b,ORF1b sars-cov-2 gene target,ORF1b sars-cov-2 gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000097,eng,method,Method,A procedure for collecting a sample or performing a measure.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000098,eng,comp8hDep,Composite 8hr grab sample deprecated,"A 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.",NA,1.0.0,2.0.0,Use grab with collection period (collectPer) = 8,
tra000099,eng,outb,Outbreak,"Measure to indicate outbreak status. Given that when outbreaks occur, full data on case counts may not be available or completely accurate, using this measure indicates that case counts may be approximate.",The datetime for the measure helps indicate that start and end periods for an outbreak.,2.0.0,2.0.0,added in V2.0; github issue #203,
tra000100,eng,outbreak,Outbreak class,Measures and methods relating to public health outbreaks.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000101,eng,p100l,p100l delta-variant gene target,p100l delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000102,eng,p2046l,p2046l delta-variant gene target,p2046l delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000103,eng,p2287s,p2287s delta-variant gene target,p2287s delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000104,eng,p3395h,p3395h omicron-variant gene target,p3395h omicron-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000105,eng,p681r,p681r delta-variant gene target,p681r delta-variant gene target,NA,2.0.0,2.0.0,added in V2.0.0,
tra000106,eng,peg,Polyethyleneglycol (PEG) precipitation,Peg precipitation,NA,2.0.0,2.0.0,"added in V2.0.0, added from NWSS",
tra000107,eng,perc,Percent,Percentage.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000108,eng,flowPr,Flow proportional sample,A flow proportional composite sample generally collected by an autosampler.,"Use collectionPeriod to describe how many hours the sample was taken. The volume of wastewater taken is proportional to the flow rate flowing at each instant of sampling. This is also called constant time, variable volume (CTVV).",1.0.0,2.0.0,Removed time period. Use collection period (collectPer) = 24 for 24hr sample,
tra000109,eng,pHClass,pH class,Measures and methods relating to pH.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000110,eng,phi6,Pseudomonas virus phi6,Measure of the amount of pseudomonas virus phi6.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000111,eng,grb,Grab sample,A single large representative grab sample.,"If the sample was collected over a series of hours or is a composite sammple, please use partID = comp",1.0.0,2.0.0,"description wording, structure",
tra000112,eng,timePr,Time proportional sample,A time proportional composite sample generally collected by an autosampler.,Use collectionPeriod to describe how many hours the sample was taken.,1.0.0,2.0.0,Removed time period. Use collection period (collectPer) = 24 for 24hr sample,
tra000113,,physical,Physical class,Measures and methods related to generic physical properties.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000114,,protocolID,Protocol ID,A unique identifier for a given protocol.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000115,,popEq,Population equivalents,"A unit for measuring of design capacity for wastewater treatment plants, represented as the approximate amount of water a signle person would use.",NA,1.0.0,2.0.0,"description wording, structure; github issue #123",
tra000116,,ppm,parts per million,Parts per million.,NA,1.0.0,2.0.0,description wording.,
tra000117,,caRepDate,Case report date,"Date that the numbers were reported publicly. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,depreciated,
tra000118,eng,epiDate,Episode date,"Episode date is the earliest of onset, test or reported date.",NA,1.0.0,2.0.0,depreciate,
tra000119,eng,onsDate,Onset date,"Earliest that symptoms were reported for this case. This data is often not known and reported. In lieu, episode is used.",NA,1.0.0,2.0.0,added in V2.0; depreciated,
tra000120,eng,precipation,Precipitation class,Measures and methods related to precipitation.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000121,eng,percRec,Percent recovery,Percent of the surrogate recovery for a recovery efficiency control assay.,Use this for reporting the results of any recovery control assay.,1.0.0,2.0.0,"description wording, structure",
tra000122,eng,prop,Proportion of total,Proportion as a precent of total.,NA,1.0.0,2.0.0,description wording.,
tra000123,eng,tesDate,Test date,Date that the covid-19 test was performed.,NA,1.0.0,2.0.0,depreciated,
tra000124,eng,puro,Puro virus,Measure of the amount of puro virus.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000125,eng,stepVer,Protocol step version,Specifies the version of a given protocol step.,Version of the method step. Semantic versioning is recommended.,1.0.0,2.0.0,"description wording, structure",
tra000126,eng,ratio,Ratio,Ratio (unitless),Report as a real number or fration. i.e 10:2 ratio is reported as 5. The specifics of the ratio (the numerator and the demoninator) are described in the measure.,2.0.0,2.0.0,added in V2.0.0,
tra000127,eng,recov,Recovered patients,Units for describing a population measure of patients who have recovered from a given disease.,Unit for a population or disease measure to explain population-level clinical effects.,2.0.0,2.0.0,added in V2.0.0,
tra000128,eng,relHum,Relative humidity,"The unit of relative humidity, or the air-water mixture. The ratio of the partial pressure of water vapor in the mixture to the equilibrium vapor pressure of water over a flat surface. of pure water at a given temperature.",NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
tra000129,eng,resCosca,Resuspend COSCa filter collection,Nucleic acid extraction via resuspension of a sample collected using the COSCa ball method.,See partID = cosca for additional details.,2.0.0,2.0.0,added in V2.0.0,
tra000130,eng,rsvGrp,Respiratory syncytial virus (RSV) Group,Human Respiratory Syncytial virus (RSV).,"Refer to Group = `rsvA` and `rsvB` for measure that are specific to RSV A or RSV B, respectively. ",2.0.0,2.1.2,added in V2.0.0,
tra000131,eng,settsol,Settled solids,Amount of settled solids from a wastewater sample.,"May be a volume or a weight, see the unitID for a given measure row for details on a given sample.",2.0.0,2.0.0,added in V2.0.0,
tra000132,eng,summ,Summary,Short description of the assay and how it is different from the other assay methods.,NA,1.0.0,2.0.0,"description wording, structure",
tra000133,eng,skimMilkFloc,Skimmed milk flocculation,Skimmed milk flocculation,NA,2.0.0,2.0.0,added in V2.0.0,
tra000134,eng,solidSep,Solid seperation,Process used to separate solid and liquid phases of the sample. ,Solid seperation is used either prior to or in the absence of the concentration method specified in 'methodConc'.,2.0.0,2.0.0,added in V2.0.0,
tra000135,eng,specHum,Specific humidity,"Measure for specific humidity, the unit is the ratio of the mass of water vapour and the mass of total air.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000136,eng,speed,Speed class,Measures and methods relating to speed.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000137,eng,standardConc,Standard concentrations class,Measures and methods relating to standard conentrations.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000138,eng,stec,Shiga-toxin-producing Escheria coli (STEC),Shiga-toxin-producing Escheria coli (STEC).,NA,2.1.0,2.1.0,added in V2.1.0,
tra000139,eng,qaqc,Quaility assurance method,Quality assurance and quality control method.,Description of the quality control steps taken,1.0.0,2.0.0,"description wording, deprecated",
tra000140,eng,liq,Liquid fraction,Liquid fraction of a sample.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000141,eng,temperature,Temperature class,Measures and methods related to temperatures.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000142,eng,tempVol,Nucleic acid template volume,The volume of DNA or RNA template used for PCR. ,NA,2.0.0,2.0.0,added in V2.0.0,
tra000143,eng,mix,Mixed/homogenized sample,Mixed or homogenized sample or fraction analyzed.,NA,1.0.0,2.0.0,added in V2.0.0,
tra000144,eng,time,Time class,Measures and methods relating to time.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000145,eng,tkn,Total Kjeldahl Nitrogen,"A measure of Total Kjeldahl Nitrogen; ie. the sum of nitrogen bound in organic substances, nitrogen in ammonia (NH3-N) and in ammonium (NH4+-N) in the chemical analysis of soil, water, or waste water.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000146,eng,sol,Solid fraction,Solid fraction of a sample.,NA,1.0.0,2.0.0,"description wording, structure",
tra000147,eng,covE,SARS-CoV-2-E,SARS-CoV-2 E gene.,NA,1.0.0,2.0.0,"description wording, structure",
tra000148,eng,mspsDep,Moore swab passive sample depreciated,Moore swab passive sample.,"Deprecated in version 2, please do not use.",1.0.0,2.0.0,"added in V2.0, depreciated after",
tra000149,eng,otco,Other Collection depreciated,Other type of collection method. Add description to collectionOther.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",1.0.0,2.0.0,"Depreciated in version 2 with all ""other"" fields",
tra000150,eng,comp3dep,Composite grab sample of 3 depreciate,A grab-composite sample composed of 3 separate grab samples.,"Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
tra000151,eng,turbidity,Turburdity class,Measures and methods relating to water and wastewater turbidity.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000152,eng,tWeighE,Tube weight empty,The weight of the tube used for analysis while empty.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000153,eng,tWeighF,Tube weight full,The weight of the tube used for analysis while full of analyte.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000154,eng,unitless,Unitless measure,"A unit for unitless measures, like pH.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000155,eng,untracent,Ultracentrifugation,Ultracentrifugation,"Should typically be linked to a lower limit, and some indication of data spread (ie. standard deviation), and a mean/median measure.",2.0.0,2.0.0,added in V2.0.0,
tra000156,eng,upstream,Upstream sites,A general site type for upstream wastewater sampling sites.,NA,1.1.0,2.0.0,description wording.,
tra000157,eng,vanc,Vancomycin resistance,Vancomycin resistant bacteria.,NA,2.1.0,2.1.0,added in V2.1.0,
tra000158,eng,variant,Variants class,Measures and methods relating to variants.,NA,2.0.0,2.0.0,"added in V2.0.0, github issue #144",
tra000159,eng,vax1plus,Population with 1+ dose(s) of vaccine,"The population with 1 or more doses of vaccine, with the vaccine specified in the measure field.",A unit used for for specifying a population-wide vaccination level measure.,2.0.0,2.0.0,now a unit for any group or biologic infection,
tra000160,eng,vax2plus,Population with 2+ or more doses of vaccine,"The population with 2 or more doses of vaccine, with the vaccine specified in the measure field.",A unit used for for specifying a population-wide vaccination level measure.,2.0.0,2.0.0,now a unit for any group or biologic infection,
tra000161,eng,virusMisc,Miscellaneous viruses group,A group of measures/methods related to miscellaneous viruses.,"The miscallenous viruses are often measured for normalization or standardization and have only one measure or method. When a virus has many measures, they will be given their own groupID in updated dictionary versions.",1.0.0,2.2.0,Depreciated in V2.0.0,
tra000162,eng,volPr,Volume proportional sample,A volume proportional sample generally collected by an autosampler.,"The sampling takes the same wastewater volume at variable time intervals, after a defined volume of wastewater has passed the sampling point.
This is also called constant volume, variable time (CVVT).",2.0.0,2.0.0,added in V2.0.0,
tra000163,eng,volumeUnitSet,Volume unit set,Unit set of volume measurements.,NA,1.0.0,2.0.0,"description wording, structure",
tra000164,eng,comp3hdep,Composite 3hr grab sample depreciate,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
tra000165,eng,vssIg,Volatile suspended solids - ignition,"A water quality measure, captured by via the loss on ignition of the mass of measured total suspended solids. This ignition generally takes place in an oven at a temperature of 550 °C to 600 °C. It represents the amount of volatile matter present in the solid fraction of the measured solution.",NA,2.0.0,2.0.0,added in V2.0.0,
tra000166,eng,waterCompartmentSet,Water compartment set,A compartment set for measures and methods in the water compartment.,NA,1.0.0,2.0.0,"description wording, structure",
tra000167,eng,watTemp,Wastewater temperature,Temperature of the wastewater.,NA,2.0.0,2.0.0,"added in V2.0.0, github issue #124 and #204",
tra000168,eng,inhibMeth,Inhibition method,Description of the method used to evaluate molecular inhibition.,Description of the inhibition parameters.,1.0.0,2.0.0,structure change,
tra000169,eng,weather,Weather class,Measures and methods relating to weather.,NA,2.0.0,2.0.0,added in V2.0.0,
tra000170,eng,comp8h,Composite 8hr grab sample depreciated,"An 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0.0,2.0.0,"depreciated, ""default"" entries are no longer in use.",
tra000171,eng,wwtpBack,Back-up wastewater treatment site,"Indicates a wastewater treatment plant where multiple labs are or were sampling, and where secondary samples are being taken taken.","Maps to units of either million gallons per day, or population equivalents.",2.0.0,2.0.0,"added in V2.0.0, github issue #123",
tra000172,eng,flow24hDep,Flow proportional 24hr sample depreciated,A flow proportional 24-hour composite sample generally collected by an autosampler.,NA,1.0.0,2.0.0,depreciated,
tra000173,eng,repGrab,Representative grab sample,A single large representative grab sample.,"Deprecated in version 2, please do not use.",1.0.0,2.0.0,depreciated,
tra000174,eng,slod,Sample Limit of Detection (LOD),"The minimum level of a target within a sample that would be consistently detectable considering all sample processing steps, from sample concentration leading up to and including amplification and quantification steps of RT-qPCR. In this Protocol, the SLOD is the concentration factor-adjusted ALOD, which provides a theoretical estimate of the minimum concentration in the original sample that would yield consistent detection of the target, assuming no method losses.",NA,2.2.0,2.2.0,added in V2.2.0,
tra000175,eng,alod,Assay Limit of Detection (LOD),"The minimum level of a target consistently detectable (e.g., with 95% probability) using the assay considering only the amplification and quantification steps of RT-qPCR.",NA,2.2.0,2.2.0,added in V2.2.0,
tra000176,eng,mlod,Method Limit of Detection (LOD),"The minimum level of a target necessary for its consistent detection considering all sample processing steps as in the definition of
SLOD), but considering biases attributable to method losses. The MLOD is experimentally determined using a rigorous and iterative testing approach and it is sensitive to the recovery surrogate used and the sample matrix encountered.",NA,2.2.0,2.2.0,added in V2.2.0,
tra000177,eng,rsvMe,Respiratory syncytial virus,"Human Respiratory Syncytial virus (RSV), generic measure.","Refer to Group = `rsvA` and `rsvB` for measure that are specific to RSV A or RSV B, respectively. ",2.0.0,2.1.2,added in V2.0.0,
tra000178,eng,allele,Alleles class,Measures and methods related to alleles.,NA,2.0.0,2.0.0,added in V2.0.0,
