partID,partLabel,partType,shortName,partDesc,partInstr,domainID,specimenSet,compSet,groupID,classID,nomenclatureID,ontologyRef,latExp,catSetID,unitSetID,aggScaleID,aggSetID,qualitySetID,status,firstReleased,lastUpdated,changes,protocolSteps,protocolStepsRequired,protocolStepsOrder,protocolRelationships,protocolRelationshipsRequired,protocolRelationshipsOrder,measures,measuresRequired,measuresOrder,measureSets,measureSetsRequired,measureSetsOrder,datasets,datasetsRequired,datasetsOrder,sites,sitesRequired,sitesOrder,samples,samplesRequired,samplesOrder,addresses,addressesRequired,addressesOrder,contacts,contactsRequired,contactsOrder,organizations,organizationsRequired,organizationsOrder,instruments,instrumentsRequired,instrumentsOrder,polygons,polygonsRequired,polygonsOrder,languages,languagesOrder,translations,translationsOrder,parts,sets,setsOrder,qualityReports,qualityReportsRequired,qualityReportsOrder,sampleRelationships,sampleRelationshipsRequired,sampleRelationshipsOrder,protocols,protocolsRequired,protocolsOrder,refLink,dataType,minValue,maxValue,minLength,maxLength
aDate,Analysis date,attribute,NA,Date the measurement was performed in the lab.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,datetime,NA,NA,0,30
measureRepID,Report ID,attribute,NA,Unique identifier for a measurement.,Report IDs cannot be repeated.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,pK,mandatory,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FK,mandatory-if,2,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
parSampID,Parent sample ID,attribute,NA,If this sample has been pooled into one big sample for analysis this indicates the sample of the larger pooled sample.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.1,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
protocolIDContainer,Protocol ID Container,attribute,NA,Unique identifier for the protocol and the steps and other protocols that make it up.,Protocol ID Container in popuated by a protocolID (partID = protocolID),naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,fK,mandatory,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,15
instID,Instrument ID,attribute,NA,A unique identifier for an instrument.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.1,2.0,"description wording, structure",fK,optional,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pK,mandatory,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,10
addresses,Address Table,table,ad,"The table that contains information about addresses, which can be fore Sites, individuals reporting data, or organizations.",adapt from verson 1 documentation,naDomain,naSpecimenSet,naCompartmentSet,naGroup,programDescr,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
parSiteID,Parent Site ID,attribute,NA,The siteID that is a parent to another siteID; usually the sub-site will be contained in the parentSite.,"An example would be surface testing in a LTC facility. The LTC facility would be the parentSiteID, and the various rooms/surfaces would be the sub-sites, or child-sites.",naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fK,optional,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
afu,Air filtration unit,category,NA,Air filtration or circulating unit. ,Typically the unit would have a fan or blower. ,naDomain,saSpecimen,airCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
aggregation,Aggregations,partType,NA,Statistical measures used to report a measure. Each dataType that is a number should be reported with an aggregation.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
sampleID,Sample ID,attribute,NA,Unique identifier for a sample.,Suggestion:siteID-date-index.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,1.1,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,fK,mandatory,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,pK,mandatory,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FK,mandatory-if,3,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
addressesOrder,Addresses table column order,tableSupport,NA,Specifies the order of the columns in the Addresses table.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,integer,1,NA,NA,NA
addressesRequired,Requirements of addresses table,tableSupport,NA,Specifies the columns required in a Addresses table.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,header,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
ai,Inhibition present but addressed,quality,NA,"The original sample was inhibited; however, the inhibition has been addressed through dilution. The reported concentration estimate is the updated result after addressing inhibition.",NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,pcrQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
contID,Contact ID,attribute,NA,A unique identifier for a given contact person.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,fK,optional,9,NA,NA,NA,header,optional,24,fK,optional,4,NA,NA,NA,fK,mandatory,8,fK,optional,4,NA,NA,NA,pK,mandatory,1,NA,NA,NA,fK,optional,6,header,optional,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fK,optional,8,NA,varchar,NA,NA,0,30
extractCatSet,Nucleic Acid Extraction CatSetegory Set,catSet,NA,CatSetegory set used for storing all the valid category values for the nucleic acid extraction method.,NA,Bio,saSpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,extractCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
airTemp,Environmental Temperature,measure,NA,Environmental temperature.,NA,Phy,siSpecimen,anyCompartment,siteFeat,tempClass,naNomenclature,,NA,NA,temperatureUnitSet,see unit,naAggrSet,genQualitySet,active,1.0,2.0,"description wording, structure",NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,float,see unit,see unit,NA,NA
fractionCatSet,Sample fraction category set,catSet,NA,"CatSetegory set for the fraction of the sample (solid, liquid, etc.).",NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,fractionCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
alias,Alias,attribute,NA,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead.",naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
aliasID,Alias ID,attribute,NA,Alias id,ID of an assay that is the same or similar. a comma separated list.,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
allDo,All domains,domain,NA,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA,allDo,anySpecimen,anyCompartment,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,15
allele,Alleles class,class,NA,Specifies a collection of measures/methods related to alleles.,NA,Bio,saSpecimen,anyCompartment,naGroup,allele,naNomenclature,,NA,NA,naUnitSet,see unit,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
allOrgs,Access to all org,attribute,NA,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,booleanSet,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boolean,NA,NA,0,1
aloh3,Aloh3 precipitation,category,NA,Aloh3 precipitation,NA,Che,naSpecimenSet,waterCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
amDef,Assay method id default,attribute,NA,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca",naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,NA,depreciated,1.0,2.0,depreciated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
amiconUf,Amicon ultrafiltration,category,NA,Amicon ultrafiltration,NA,Che,naSpecimenSet,waterCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
amiMP96,"Amicon filter, extract with MP96",category,NA,"Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA,Bio,naSpecimenSet,waterCompartment,procGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,genQualitySet,active,2.0,2.0,added in V2.0,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,10
geoTypeCatSet,Geographic category set,catSet,NA,CatSetegory set for different type of geographic components.,NA,naDomain,naSpecimenSet,naCompartmentSet,naGroup,naClass,naNomenclature,,NA,geoTypeCatSet,naUnitSet,NA,naAggrSet,NA,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,categorical,NA,NA,0,30
areaPr,Area proportional sample,category,NA,An area proportional sample.,Used for surface testing.,naDomain,naSpecimenSet,surfaceCompartment,colGrp,naClass,naNomenclature,,NA,NA,naUnitSet,NA,naAggrSet,sampleQualitySet,active,2.0,2.0,added in V2.0,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,input,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,varchar,NA,NA,0,30
