langID,partID,partLabel,partDesc,partInstr,firstReleased,lastUpdated,changes,notes,
eng,bioRadDdpcr,Digital droplet emulsification PCR,Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.,NA,2.0,2.0,added in V2.0,,
eng,blob,Sewer network file link depreciated,Link to a file that has any detailed information about the sewer network associated with the site (any format).,NA,1.0,2.0,depreciated,,
eng,blob,Binary Large Object (BLOB) Data Type,The data type for Binary Large Object (BLOB) data.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,boc,Breadth of coverage (>=5x depth),Positions with read depth greater or equal to 5.,Report as percentage of positions.,2.0,2.0,Issue #120,,
eng,bod5c,5-Day Carbonaceous Biochemical Oxygen Demand,"The quantity of oxygen utilized for the biochemical degradation of organic matter under standard laboratory procedures in five (5) days in the presence of a nitrification inhibitor, expressed in milligrams per litre (mg/l).",NA,1.1,2.0,"description wording, structure",,
eng,bod5t,5-day Total Biochemical Oxygen Demand,5 day total biochemical oxygen demand.,NA,1.1,2.0,"description wording, structure",,
eng,boolean,Boolean data type,The data type for boolean/binary data.,Encoded as 'TRUE' or 'FALSE',2.0,2.0,added in V2.0,,
eng,booleanSet,Boolean value set,Set that contains the valid possible values for a boolean measure (TRUE or FALSE).,NA,2.0,2.0,added in V2.0,,
eng,brsv,Bovine respiratory syncytial virus group,Bovine respiratory syncytial virus.,NA,2.0,2.0,added in V2.0,,
eng,brsvCul,brsv culture Spike Target,Cultured bovine respiratory syncytial virus (BRSV) is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,brsvN,BRSV-N,bovine respiratory syncytial virus capsid protein gene region,NA,1.0,2.0,added in V2.0,,
eng,brsvVac,brsv vaccine Spike Target,The bovine respiratory syncytial virus (BRSV) vaccine is used as the recovery efficiency control target.,NA,2.0,2.0,added in V2.0,,
eng,purposeID,Purpose,The reason the measure or sample was taken.,"See allowed categories: report, quality control, validation study, test",2.0,2.0,NA,,
eng,polygonID,Polygon ID,Unique identifier for the polygon.,A polygon is a geographic are representing the capment area of an environmental sample.,1.0,2.0,"description wording, structure",,
eng,capacityUnitSet,Capacity unit set,Unit set for capacity measurements.,NA,2.0,2.0,added in V2.0,,
eng,categorical,Categorical Data Type,The data type for categorical data.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,category,Categories,"A category of a measure, method or attribute.","A use-case example of categories would be how they are used to record the site where a measure is taken (partID = geoType). For the geoType attribute there are different type of sites where samples can be taken: a wastwater treatment plant, airplane holding tank, wastwater pumping station, etc. Each of these site types is recorded as a category that can be identified in categorySetID = sTypeCatSets",2.0,2.0,added in V2.0,,
eng,catSet,Category sets,The part type for category sets.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,aggScaleID,Aggregation Scale ID,A scale used for an aggregation. See partID = … Only applicable for measures and units.,NA,2.0,2.0,added in V2.0,,
eng,siteTypeID,Site Type,Type of site or institution where sample was taken.,NA,1.0,2.0,"description wording, structure",,
eng,samshed,Sampleshed,"A geographic area, physical space, or structure. A sample is taken from a sampleshed for a representative measurement of a substance(s).","Examples: Airplane, Long-term care home, Neighbourhood, University campus, Municipality",2.0,2.0,added in version 2,,
eng,addID,Address ID,A unique identifier for an address.,NA,2.0,2.0,added in V2.0,,
eng,siteID,Site ID,Unique identifier for the location where a sample was taken.,NA,1.0,2.0,"description wording, structure",,
eng,saMaterial,Sample material,Type of sample.,NA,1.0,2.0,description wording additional categories added (from NWSS),,
eng,cel,Degrees Celcius,Degrees Celsius.,NA,1.1,2.0,description wording.,,
eng,cent,Centrifugation,Describes solid separation from a wastewater sample via centrifugation. Likely connected to other method steps prior to analysis.,NA,2.0,2.0,added in V2.0,,
eng,centriconUf,Centricon ultrafiltration,Centricon ultrafiltration.,NA,2.0,2.0,added in V2.0,,
eng,ceres,Ceres nanotrap,Ceres nanotrap.,NA,2.0,2.0,added in V2.0,,
eng,cfu,CFU per 100 ml,Colony forming units per 100 ml of filtered sample.,NA,1.0,2.0,description wording.,,
eng,aggSetID,Aggregation Set ID,"The ID for an aggreatation set. Mainly applicable to partType =  ""units"".",NA,2.0,2.0,added in V2.0,,
eng,che,Chemical,A chemical compound.,NA,2.0,2.0,added in V2.0,,
eng,chemVir,Chemagic viral dna/rna 300 kit,Nucleic acid extraction performed using the chemagic viral dna/rna 300 kit.,NA,2.0,2.0,added in V2.0,,
eng,child,Child relationship,Indicated that this is a sample generated from (an)other sample(s) either because of pooling or sub-sampling.,NA,1.0,2.0,changed to a relationshipID value.,,
eng,airpln,Airplane,Airplane,NA,1.0,2.0,"description wording, structure",,
eng,clari,Clarified sample,Clarified sample.,NA,1.0,2.0,NA,,
eng,class,Classes,A class is a collection of one or more related measures or methods within a group. A group can have one more more classes to describe different parts or the class.,See partID = classID.,2.0,2.0,added in V2.0,,
eng,datasetID,Dataset ID,"The name of the dataset that stores information for MeasureReport, SampleReport and other reporting tables.","Where possible, datasetID name should correspond the orignial data custodian responsible for generating environmental data. (suggestion for a default name convention.)",2.0,2.0,added in V2.0,,
eng,cloudy,Cloudy,"Qualitative category for the weather measure, specifying an overcast day with no rain.",NA,2.0,2.0,added in V2.0,,
eng,cm,Centimetres,Unit part for the SI unit of centimetres.,NA,2.0,2.0,added in V2.0,,
eng,co2,Carbon Dioxide,A measure of an amount or concentraion of carbon dioxide.,NA,2.0,2.0,added in V2.0,,
eng,cod,Chemical Oxygen Demand,Chemical oxygen demand.,NA,1.0,2.0,"description wording, structure",,
eng,colGrp,Collection group,A group of measurement-like attributes related to sample collection.,NA,2.0,2.0,added in V2.0,,
eng,insTypeCatSet,Instrument category set,List of instruments that are used for measures and methods,NA,2.0,2.0,added in V2.0,,
eng,meaureSetRepID,Report Set ID,Unique identifier that links together a group of related measures.,NA,2.0,2.0,added in V2.0,,
eng,aDateStart,Analysis date start,Date the measurement or analysis was started.,NA,1.0,2.0,NA,,
eng,bSwrPpl,Branch sewer pipleline,"Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.",NA,1.0,2.0,"description wording, structure",,
eng,colocated,Co-located Sample,"Second or multiples samples collected at same location but different time (water, air) or at a nearby location (soil, sediment). Sent blind to laboratory.",NA,2.0,2.0,added in V2.0,,
eng,columnName,Column name,Name for the column,Depreciated in ODM version 2. Look-up tables are now incoprated into parts and sets.,1.0,2.0,depreciated,,
eng,comp3,Composite grab sample of 3,A grab-composite sample composed of 3 separate grab samples.,NA,1.0,2.0,Use grab with collection number (collectNum) = 3,,
eng,comp3dep,Composite Grab Sample of 3 Depreciate,A grab-composite sample composed of 3 separate grab samples.,"Deprecated in version 2, please do not use.",1.0,2.0,depreciated,,
eng,comp3h,Composite 3hr grab sample,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.",NA,1.0,2.0,Use grab with collection period (collectPer) = 3,,
eng,comp3hdep,Composite 3hr grab sample depreciate,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0,2.0,depreciated,,
eng,comp8,Composite 8hr Grab Sample Depreciated,"An 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use.",1.0,2.0,depreciated,,
eng,comp8h,Composite 8hr grab sample,"A 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.",NA,1.0,2.0,Use grab with collection period (collectPer) = 3,,
eng,compartment,Compartments,An substance from which a sample was taken.,NA,2.0,2.0,added in V2.0,,
eng,compID,Compartment,The environmental entity from which a sample was taken for a given part.,"Compartments include: air, surface and water. Wastewater has componentID = water. Mostly applicable for measures, methods, units, and aggregations.",2.0,2.0,added in V2.0,,
eng,conc,Sample concentrate,Sample concentrate.,NA,1.0,2.0,NA,,
eng,conCase,Confirmed Cases Case Report Date,"Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.",NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,cond,Water conductivity,Measurement of conductivity of sample or site.,NA,1.0,2.0,"description wording, structure",,
eng,conductivityUnitSet,Conductivity unit set,Unit set related to conductivity measurements.,NA,2.0,2.0,added in V2.0,,
eng,conf,Number of confirmed cases,Number of confirmed cases.,NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,confEp,Confirmed cases episode date,"Episode date is the earliest of onset, test or reported date for a confirmed case.",NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,confOn,Confirmed Cases Onset Date,"Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.",NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,orgID,Organization ID,A unique identifier for the organization to which the reporter is affiliated.,NA,1.1,2.0,added in V2.0,,
eng,contactName,Contact name,"Contact person or group, for the lab.",Depreciated in ODM version 2. see 'name',1.0,2.0,depreciated,,
eng,catSetID,Category Set ID,"The category set that corresponds to a given part. A set of categories used for a method or measure. Only applicable for categorical fields, and the categories that populate them.",NA,2.0,2.0,added in V2.0,,
eng,conTest,Confirmed Cases Test Date,Date that the covid-19 test was performed for a confirmed case.,NA,1.0,2.0,now a unit for any group or biologic infection,,
eng,buildCO,Building cleanout,Specifies a site type that is a capped pipe that connects to a building's main sewer line.,NA,1.0,2.0,"description wording, structure",,
eng,cosca,COSCa ball,COSCa passive sampling device.,Use collectionPeriod to describe how many hours the ball was used to collect the sample,2.0,2.0,added in V2.0,,
eng,addL1,Address Line 1,"Line 1 (the street name, number and direction) for a given address.",NA,2.0,2.0,added in V2.0,,
eng,cov,Covid-19,Covid-19 infection.,"Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits.",2.0,2.0,added in V2.0,,
eng,covB117,SARS-CoV-2-B.1.1.7,Variant B.1.1.7 of the SARS-CoV-2 virus.,NA,1.1,2.0,added in V2.0,,
eng,covB135,SARS-CoV-2-B.1.351,Variant B.1.351 of the SARS-CoV-2 virus.,NA,1.1,2.0,added in V2.0,,
eng,covE,SARS-CoV-2-E,SARS-CoV-2 E gene.,NA,1.0,2.0,"description wording, structure",,
eng,covN1,SARS-CoV-2-N1,"SARS-CoV-2 nucleocapsid gene, allele 1.",NA,1.0,2.0,"description wording, structure",,
eng,covN2,SARS-CoV-2-N2,"SARS-CoV-2 nucleocapsid gene, allele 2.",NA,1.0,2.0,"description wording, structure",,
eng,covN3,SARS-CoV-2-N3,"SARS-CoV-2 nucleocapsid gene, allele 3.",NA,1.0,2.0,"description wording, structure",,
eng,covP1,SARS-CoV-2-P.1,Variant P.1 of the SARS-CoV-2 virus.,NA,1.1,2.0,"description wording, structure",,
eng,covRdrp,SARS-CoV-2-RdRp,SARS-CoV-2 RdRp gene.,NA,1.0,2.0,"description wording, structure",,
eng,cphDate,Covid-19 Population Measure Date,date of reporting for covid-19 measure.,Depreciated in ODM version 2. The measure identication is now measureReportID with report dates as for any measure report.,1.0,2.0,depreciated,,
eng,cphid,Cphd ID,Unique identifier for the table.,Depreciated in ODM version 2. The measure identication is now measureReportID.,1.0,2.0,depreciated,,
eng,cra,crAssphage-N,crAssphage virus capsid protein gene region,NA,1.0,2.0,"description wording, structure",,
eng,ct,Cycle threshold,Cycle thresholds in a PCR assay.,NA,1.0,2.0,description wording.,,
eng,cuCo,Cumulative count,Units for describing a population measure of a cumulative count of cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.,2.0,2.0,added in V2.0,,
eng,d377y,d377y delta-variant gene target,d377y delta-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,d3g,d3g omicron-variant gene target,d3g omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,d63g,d63g delta-variant gene target,d63g delta-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,d796y,d796y omicron-variant gene target,d796y omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,d950n,d950n delta-variant gene target,d950n delta-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,daiCo,Daily count,Units for describing a population measure of a daily count of new cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.,2.0,2.0,added in V2.0,,
eng,aDateEnd,Analysis date end,Date the measurement or analysis was completed.,NA,1.0,2.0,Depreciated. See issue #211. https://github.com/Big-Life-Lab/PHES-ODM/issues/211,,
eng,addL2,Address Line 2,Line 2 (the unit number) for a given address.,NA,2.0,2.0,added in V2.0,,
eng,changes,Changes column,A column for recording the changes from a previous version.,Use this column as a short-hand change log for dictionary development.,2.0,2.0,added in V2.0,,
eng,classID,Class,"A unique identifier for a class, which is akin to a sub-group; it's a way of grouping parts within a given groupID. A group can have one or more classes to describe different parts of the class.","Currently, class is only used for biologics. For example, SARS-CoV-2 is a group of measures with the following classes of allele, variant, mutation, sequence, and protein.",2.0,2.0,added in V2.0,,
eng,methodConcCatSet,Concentration method category set,CatSeteogry set for concentration methods.,NA,2.0,2.0,added in V2.0,,
eng,date,Date,Date,date on which the assayMethod was created or updated (for version update).,1.0,2.0,depreciate,,
eng,datetime,Datetime Data Type,The data type for date and time data.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,ddcovE,ddcov_e sars-cov-2 gene target,ddcov_e sars-cov-2 gene target.,NA,2.0,2.0,added in V2.0,,
eng,ddcovN,ddcov_n sars-cov-2 gene target,ddcov_n sars-cov-2 gene target.,NA,2.0,2.0,added in V2.0,,
eng,death,Deaths,Units for describing a population measure of patients who have died from a given cause.,Unit for a population or disease measure to explain population-level clinical effects.,2.0,2.0,added in V2.0,,
eng,del157,del 157/158,157 or 158 deletion delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,del143,del143/145,143 or 145 deletion omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,del2084,del2084/2084,2084 or 2084 deletion omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,del212,del212/212,212 or 212 deletion omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,del3674,del3674/3676,3674 or 3676 deletion omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,del6970,del69/70,69 or 70 deletion omicron-variant gene target.,NA,2.0,2.0,added in V2.0,,
eng,delta,Delta,B.1.617.2,NA,2.0,2.0,added in V2.0,,
eng,depreciated,Depreciated,Indicator to say that a part is no longer in current use in the model. See partID = status,NA,2.0,2.0,added in V2.0,,
eng,derived,Derived sample,Specifies a sample that is derrived or made from another sample or material.,NA,2.0,2.0,added in V2.0,,
eng,city,City,The city where a site or organization is located; part of the address.,NA,1.0,2.0,"description wording, structure",,
eng,descrChange,Description of change,A description of change in a part from the previous verion,NA,2.0,2.0,added in V2.0,,
eng,desk,Desk or counter,"Desk, table, countertop or other flat working surface.",NA,2.0,2.0,added in V2.0,,
eng,deso,Dewatered solids,Dewatered solids.,NA,1.0,2.0,NA,,
eng,det,Detected,Substance detected or not detected.,"1 = detected, 0 = not detected",1.1,2.0,description wording.,,
eng,details,Access to details,More details on the existing confidentiality requirements of this measurement.,NA,1.0,2.0,depreciate,,
eng,dilFact,Dilution factor,Specifies the extent to which a sample or aliquot was diluted prioir to analysis.,"Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution.",2.0,2.0,added in V2.0,,
eng,disease,Disease (human),Specifies a collection of measures/methods related to disease or infection in humans.,NA,2.0,2.0,added in V2.0,,
eng,dissGasUnitSet,Dissolved gas concentration unit set,Unit set for carbon dioxide concentrations measurements in water or air.,NA,2.0,2.0,added in V2.0,,
eng,doc,Depth of coverage,The sequencing read depth.,Used to interpret the confidence in a presence or amount of a varient.,2.0,2.0,Issue #120,,
eng,domain,Domains,"Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).",NA,2.0,2.0,added in V2.0,,
eng,compSet,Compartment set,The set of valid compartments that apply to another given part.,NA,2.0,2.0,added in V2.0,,
eng,ccc,Long term acute care hospital,"Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days.",NA,2.0,2.0,added in V2.0,,
eng,e156g,e156g delta-variant gene target,e156g delta-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,e484a,e484a omicron-variant gene target,e484a omicron-variant gene target,NA,2.0,2.0,added in V2.0,,
eng,ecoli,Escherichia coli,"Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife",NA,1.0,2.0,"description wording, structure",,
eng,education,Education,A measure or sample taken for education or training.,"Use this purpose, for example, when teaching how to use the PHES-ODM.",2.0,2.0,added in V2.0,,
eng,orgTypeID,Organization Type,Specifies the type or purpose of a given organization.,NA,2.0,2.0,added in V2.0,,
eng,envRnF,Rainfall,"Rainfall, i.e. amount of precipitation in the form of rain.",NA,1.0,2.0,"description wording, structure",,
eng,envSnwD,Ground Snow Depth,Total depth of snow on the ground.,NA,1.0,2.0,"description wording, structure",,
eng,envSnwF,Snowfall,"Snowfall, i.e. amount of precipitation in the form of snow.",NA,1.0,2.0,"description wording, structure",,
eng,epiDate,Episode Date,"Episode date is the earliest of onset, test or reported date.",NA,1.0,2.0,depreciate,,
eng,eSarbec,Sarbecovirus-specific E sars-cov-2 gene target,Sarbecovirus-specific E sars-cov-2 gene target,NA,2.0,2.0,added in V2.0,,
eng,cdc,Child day care,Child day care facility.,NA,2.0,2.0,added in V2.0,,
eng,expFail,Experiment Failed,PCR experiment failed. No value reported.,Value should be blank for a measure with this qualityFlag value.,2.0,2.0,added in V2.0,,
eng,orgTypeCatSet,Organization type category set,The category set for storing organization types.,NA,2.0,2.0,added in V2.0,,
eng,extraction,Nucleic acid extraction method,Description of the xtraction method.,Description of the method used to extract the sample,1.0,2.0,description wording add categories from NWSS,,
eng,exvol,Extraction volume of sample,Extraction volume of sample.,Size of the sample that is analyzed.,1.0,2.0,description wording and unit set,,
eng,faeces,Fecal matter,Fecal matter.,NA,1.0,2.0,NA,,
eng,fi,Inhibition present and unaddressed,"The original sample was inhibited; however, the inhibition has not been successfully addressed. Therefore, no concentration estimate has been reported.",NA,2.0,2.0,added in V2.0,,
eng,field,Field sample,Specifies a sample taken from the field; directly collected from an area for testing.,NA,2.0,2.0,added in V2.0,,
eng,fieldReplicate,Field sample replicate,A sample divided into two or more homogeneous parts.,NA,2.0,2.0,added in V2.0,,
eng,file,File,"File containing the geometry of the polygon, blob format.",Depreciated in ODM version 2. See geoEPSG and geoWKT,1.0,2.0,depreciate,,
eng,filt,Filtration,Describes solid separation from a wastewater sample via filtration. Proceeds further concentration or analysis of the liquid filtrate.,NA,2.0,2.0,added in V2.0,,
eng,corFcil,Correctional Facility,Correctional facility,NA,1.0,2.0,"description wording, structure",,
eng,firstName,First name of contact,Specifies the first name of a given contact.,NA,2.0,2.0,added in V2.0,,
eng,contacts,Contact Table,The table that contains information about a contact; a person who is the contact of a site or laboratory.,adapt from verson 1 documentation,1.0,2.0,"description wording, structure",,
eng,fK,Foreign key,Foreign key for a table.,NA,2.0,2.0,added in V2.0,,
eng,float,Float Data Type,The data type for float data.,Only used for the dictionary entries of parts.,2.0,2.0,added in V2.0,,
eng,floMean,Flow-normalized mean,Mean measure normalized to wastewater flow; AlleleX (gc/mL) x Q (ML/d)  / (Pop /1e5) x 1e3 (mL/L) x 1e6 (L/ML)  = AlleleX (gc/day per 1e5 population),"Mostly used for reporting specific alleles (N1, N2, E, etc.)",2.0,2.0,added in V2.0,,
eng,floor,Floor,Floor of a building or room.,NA,2.0,2.0,added in V2.0,,
eng,flow24h,Flow Proportional 24hr Sample,A flow proportional 24-hour composite sample generally collected by an autosampler.,NA,1.0,2.0,depreciated,,
eng,flowClass,Flow class,Specifies a collection of measures/methods related to flow.,NA,2.0,2.0,added in V2.0,,
eng,flowPr,Flow proportional sample,A flow proportionalcomposite sample generally collected by an autosampler.,Use collectionPeriod to describe how many hours the sample was taken.,1.0,2.0,Removed time period. Use collection period (collectPer) = 24 for 24hr sample,,
eng,floRate,Flow rate,Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected.,"If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day.",1.0,2.0,"description wording, structure",,
eng,flowUnitSet,Volume flow rate unit set,Unit set for volume flow  measurements.,NA,2.0,2.0,added in V2.0,,
eng,flowVol,Flow volume,Volume of influent.,NA,2.0,2.0,added in V2.0,,
eng,flu,Influenza virus,Any influenza virus.,NA,2.0,2.0,added in V2.0,,
