langID,partID,partLab,partDesc,partInstr
en,airWaterCompartment,Air and water compartment set,A compartment set for measures and methods in the air or water compartments.,NA
en,alias,Alias,ID of an assay that is the same or similar. A comma separated list.,"Deprecated as of version 2, please avoid use. Use notes instead."
en,aliasID,Alias ID,Alias id,ID of an assay that is the same or similar. a comma separated list.
en,allDo,All domains,"Domain that specifies that it could apply to al domains; biological, chemical, and physical.",NA
en,allele,Alleles class,Specifies a collection of measures/methods related to alleles.,NA
en,allOrgs,Access to all org,"If this is 'no', this data will not be available to any partner organization. If missing, data will be available to the all organizations.",NA
en,aloh3,Aloh3 precipitation,Aloh3 precipitation,NA
en,amDef,Assay method id default,Used as default when a new measurement is created for this lab. See ID in AssayMethod table.,"Deprecated as of version 2, please avoid use. Specify in type, or contact the PHES-ODM research team to add your specific item via a github issue (https://github.com/Big-Life-Lab/PHES-ODM/issues), or at phesd_odm@ohri.ca"
en,amiconUf,Amicon ultrafiltration,Amicon ultrafiltration,NA
en,amiMP96,"Amicon filter, extract with MP96","Nucleaic acid extraction, usually used for the liquid fraction of a wastewater sample, using amicon filtration and using an MP96 for final extraction.",NA
en,anyCompartment,Any compartment set,A compartment set for measures and methods in any compartment.,NA
en,anySpecimen,Any specimen set,A specimen set that inculdes any specimen.,NA
en,areaPr,Area proportional sample,An area proportional sample.,Used for surface testing.
en,articV3,Use of the articV3 primer,Initial implementation of an ARTIC bioinformatics platform for nanopore sequencing of nCoV2019 novel coronavirus; Artic Foundation v3 primer.,NA
en,articV4,Use of the articV4 primer,Artic V4 sequencing primer for VOCs and VOIs.,NA
en,asId,Assay ID,Links with the AssayMethod used to perform the analysis. Use instrument.ID for measures that are not viral measures.,"Deprecated as of version 2, please avoid use. Refer to methodID instead."
en,attribute,Attribute Part Type,"An attribute of a domain, specimen, compartment, or reportTable. ",Attributes are one of the three main components or ways to report environment surviellence data. The other two components are measures and methods.
en,b,Trace levels of contamination,Analytical result may be subject to “trace” levels of contamination; the target analyte was also detected in negative controls on the same run as the sample.,NA
en,bacterialUnits,Bacteria unit set,Unit set for bacteria-related measurements.,NA
en,bactMisc,Miscellaneous bacteria group,A group of measures/methods related to miscellaneous bacteria.,"The miscallenous bacteria are often have only one measure or method. When a bacteria has many measures, they will be given their own groupID in updated dictionary versions."
en,bbMP96,"Bead beating, extract with MP96","Nucleaic acid extraction, usually used for solid fraction of a wastewater sample, using bead beating and using an MP96 for final extraction.",NA
en,bcov,bcov,Measure of the amount of bovine coronavirus.,NA
en,bcovCul,bcov culture Spike Target,Cultured bovine coronavirus is used as the recovery efficiency control target.,NA
en,bcovVac,bcov vaccine Spike Target,The bovine coronavirus vaccine is used as the recovery efficiency control target.,NA
en,beeExtractFloc,Beef extract flocculation,Beef extract flocculation.,NA
en,beta,Beta,B.1.351,NA
en,bio,Biologic,A living organism or biological substance.,NA
en,bioRadDdpcr,digital droplet emulsification PCR,Describes a PCR analysis done using BioRad's digital droplet emulsification PCR technology.,NA
en,blob,Sewer network file link depreciated,Link to a file that has any detailed information about the sewer network associated with the site (any format).,NA
en,blob,Binary Large Object (BLOB) Data Type,The data type for Binary Large Object (BLOB) data.,Only used for the dictionary entries of parts.
en,boc,Breadth of coverage (>=5x depth),Positions with read depth greater or equal to 5. ,Report as percentage of positions.
en,bod5c,5-Day Carbonaceous Biochemical Oxygen Demand,"The quantity of oxygen utilized for the biochemical degradation of organic matter under standard laboratory procedures in five (5) days in the presence of a nitrification inhibitor, expressed in milligrams per litre (mg/l).",NA
en,bod5t,5-day Total Biochemical Oxygen Demand,5 day total biochemical oxygen demand.,NA
en,bool,Boolean,Boolean data type.,Encoded as 'true' or 'false'
en,boolean,Boolean Data Type,The data type for boolean/binary data.,Only used for the dictionary entries of parts.
en,booleanAggr,Boolean Aggregation,Boolean aggregation.,NA
en,boolUnits,Boolean unit set,Unit set that contains the valid possible values for a boolean measure (TRUE or FALSE).,NA
en,brsv,Bovine respiratory syncytial virus group,Bovine respiratory syncytial virus.,NA
en,brsvCul,brsv culture Spike Target,Cultured bovine respiratory syncytial virus (BRSV) is used as the recovery efficiency control target.,NA
en,brsvN,BRSV-N,bovine respiratory syncytial virus capsid protein gene region,NA
en,brsvVac,brsv vaccine Spike Target,The bovine respiratory syncytial virus (BRSV) vaccine is used as the recovery efficiency control target.,NA
en,bSwrPpl,Branch sewer pipleline,"Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.",NA
en,buildCO,Building cleanout,Specifies a site type that is a capped pipe that connects to a building's main sewer line.,NA
en,capacityUnits,Capacity unit set,Unit set for capacity measurements.,NA
en,categorical,Categorical Data Type,The data type for categorical data.,Only used for the dictionary entries of parts.
en,category,Category Part Type,"A category of a measure, method or attribute. ","A use-case example of categories would be how they are used to record the site where a measure is taken (partID = geoType). For the geoType attribute there are different type of sites where samples can be taken: a wastwater treatment plant, airplane holding tank, wastwater pumping station, etc. Each of these site types is recorded as a category that can be identified in categorySetID = sTypeCats"
en,catSetPT,Category Set Part Type,The part type for category sets.,Only used for the dictionary entries of parts.
en,catSetID,Category Set ID,"The category set that corresponds to a given part. A set of categories used for a method or measure. Only applicable for categorical fields, and the categories that populate them.",NA
en,ccc,Long term acute care hospital,"Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days. ",NA
en,cDT,Collection date time,"for grab samples this is the date, time and timezone the sample was taken.",NA
en,cDTEnd,Collection date time end,"For integrated time average samples this is the date, time and timezone the sample was finished being taken.",NA
en,cDTStart,Collection date time start,"For integrated time averaged samples this is the date, time and timezone the sample was started being taken.",NA
en,cdc,Child day care,Child day care facility.,NA
en,cel,Degrees Celcius,Degrees Celsius.,NA
en,cent,centrifugation,Describes solid separation from a wastewater sample via centrifugation. Likely connected to other method steps prior to analysis.,NA
en,centriconUf,Centricon ultrafiltration,Centricon ultrafiltration.,NA
en,ceres,Ceres nanotrap,Ceres nanotrap.,NA
en,cfu,CFU per 100 ml,Colony forming units per 100 ml of filtered sample.,NA
en,cfu100Ml,Colony-forming units,"The number of bacteria or fungal cells in a sample which are viable, able to multiply via binary fission under the controlled conditions. ",NA
en,changes,Changes Column,A column for recording the changes from version 1 of the ODM to version 2.,NA
en,changes,Changes,A description of the changes to the listed part since the previous version.,Use this column as a short-hand change log for dictionary development.
en,che,Chemical,A chemical compound.,NA
en,chemVir,Chemagic viral dna/rna 300 kit,Nucleic acid extraction performed using the chemagic viral dna/rna 300 kit.,NA
en,children,Children,If this is a sample with many smaller samples either because of pooling or sub-sampling this indicates a comma separated list of child sampleID's.,NA
en,addL2,Address Line 2,Line 2 (the unit number) for a given address.,NA
en,cK,Composite key,Composite key for a table.,NA
en,clari,Clarified sample,Clarified sample.,NA
en,class,Class Part Type,A class is a collection of one or more related measures or methods within a group. A group can have one more more classes to describe different parts or the class. ,See partID = classID.
en,classID,Class ID,"A unique identifier for a class, which is akin to a sub-group; it's a way of grouping parts within a given groupID. A group can have one or more classes to describe different parts of the class. ","Currently, class is only used for biologics. For example, SARS-CoV-2 is a group of measures with the following classes of allele, variant, mutation, sequence, and protein."
en,cloudy,Cloudy,"Qualitative category for the weather measure, specifying an overcast day with no rain.",NA
en,cm,Centimetres,Unit part for the SI unit of centimetres.,NA
en,co2,Carbon Dioxide ,A measure of an amount or concentraion of carbon dioxide.,NA
en,cod,Chemical Oxygen Demand,Chemical oxygen demand.,NA
en,colGrp,Collection group,A group of measurement-like attributes related to sample collection.,NA
en,collectCat,Sample collection category set,The category set for sample collection.,NA
en,coll,Sample collection,Method used to collect the sample.,NA
en,collNum,Collection Number,"The number of subsamples that were combined to create the sample. Use NA for continuous, proportional or passive sampling.",NA
en,collPer,Collection Period,"Collection period. The time period over which the sample was collected, in hours. Alternatively, use collectionStart and collectionEnd.","Examples: 1 hour, 6 hours, 24 hours"
en,colocated,Co-located Sample,"Second or multiples samples collected at same location but different time (water, air) or at a nearby location (soil, sediment). Sent blind to laboratory.",NA
en,columnName,Column name,Name for the column,Depreciated in ODM version 2. Look-up tables are now incoprated into parts and sets.
en,comp3,Composite grab sample of 3,A grab-composite sample composed of 3 separate grab samples.,NA
en,comp3dep,Composite Grab Sample of 3 Depreciate,A grab-composite sample composed of 3 separate grab samples.,"Deprecated in version 2, please do not use."
en,comp3h,Composite 3hr grab sample,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.",NA
en,comp3hdep,Composite 3hr grab sample depreciate,"A 3-hour composite with 3 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use."
en,comp8,Composite 8hr Grab Sample Depreciated,"An 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.","Deprecated in version 2, please do not use."
en,comp8h,Composite 8hr grab sample,"A 8-hour composite with 8 grab samples each taken once per hour, generally manually performed.",NA
en,compPT,Compartment Part Type,An substance from which a sample was taken.,NA
en,compID,Compartment,The environmental entity from which a sample was taken for a given part. ,"Compartments include: air, surface and water. Wastewater has componentID = water. Mostly applicable for measures, methods, units, and aggregations."
en,compSetPT,Compartment Set Part Type,The part type for compartment sets.,Only used for the dictionary entries of parts.
en,compCatPT,Compartment category set part type,Category set of the different components of a sample.,NA
en,conc,Sample concentrate,Sample concentrate.,NA
en,conCase,Confirmed Cases Case Report Date,"Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.",NA
en,cond,Water conductivity,Measurement of conductivity of sample or site.,NA
en,conductivityUnits,Conductivity unit set,Unit set related to conductivity measurements.,NA
en,conf,Number of confirmed cases,Number of confirmed cases.,NA
en,confEp,Confirmed cases episode date,"Episode date is the earliest of onset, test or reported date for a confirmed case.",NA
en,confOn,Confirmed Cases Onset Date,"Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.",NA
en,contID,Contact ID,A unique identifier for a given contact person.,NA
en,contactName,Contact name,"Contact person or group, for the lab.",Depreciated in ODM version 2. see 'name'
en,contacts,Contact Table,The table that contains information about a contact; a person who is the contact of a site or laboratory.,adapt from verson 1 documentation
en,conTest,Confirmed Cases Test Date,Date that the covid-19 test was performed for a confirmed case.,NA
en,corFcil,Correctional Facility,Correctional facility,NA
en,cosca,COSCa ball,COSCa passive sampling device.,Use collectionPeriod to describe how many hours the ball was used to collect the sample
en,city,City,The city where a site or organization is located; part of the address.,NA
en,cov,Covid-19,Covid-19 infection.,"Any form of Covid-19 human infetion - including testing for Covid-19, symptomatic Covid-19, asymptomatic Covid-19, hospitalized Covid-19, long-Covid-19, etc. If needed, define the specific form Covid-19 with units. See populationUnits."
en,covB117,SARS-CoV-2-B.1.1.7,Variant B.1.1.7 of the SARS-CoV-2 virus.,NA
en,covB1351,SARS-CoV-2-B.1.351,Variant B.1.351 of the SARS-CoV-2 virus.,NA
en,covE,SARS-CoV-2-E,SARS-CoV-2 E gene.,NA
en,covN1,SARS-CoV-2-N1,"SARS-CoV-2 nucleocapsid gene, allele 1.",NA
en,covN2,SARS-CoV-2-N2,"SARS-CoV-2 nucleocapsid gene, allele 2.",NA
en,covN3,SARS-CoV-2-N3,"SARS-CoV-2 nucleocapsid gene, allele 3.",NA
en,covP1,SARS-CoV-2-P.1,Variant P.1 of the SARS-CoV-2 virus.,NA
en,covRdrp,SARS-CoV-2-RdRp,SARS-CoV-2 RdRp gene.,NA
en,cphDate,Covid-19 Population Measure Date,date of reporting for covid-19 measure.,Depreciated in ODM version 2. The measure identication is now measureReportID with report dates as for any measure report. 
en,cphid,Cphd ID,Unique identifier for the table.,Depreciated in ODM version 2. The measure identication is now measureReportID. 
en,cra,crAssphage-N,crAssphage virus capsid protein gene region,NA
en,ct,Cycle threshold,Cycle thresholds in a PCR assay.,NA
en,cuCo,Cumulative count,Units for describing a population measure of a cumulative count of cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.
en,d377y,d377y delta-variant gene target,d377y delta-variant gene target.,NA
en,d3g ,d3g omicron-variant gene target,d3g omicron-variant gene target.,NA
en,d63g,d63g delta-variant gene target,d63g delta-variant gene target.,NA
en,d796y ,d796y omicron-variant gene target,d796y omicron-variant gene target.,NA
en,d950n,d950n delta-variant gene target,d950n delta-variant gene target.,NA
en,daiCo,Daily count,Units for describing a population measure of a daily count of new cases of a given disease.,Unit for a population or disease measure to explain population-level clinical effects.
en,custodyID,Data custodian,The data custodian of a database. ,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the data custodian. "
en,stateProvReg,"State, Province, or Region","The state, province, or region where a site or organization is located; part of the address.",NA
en,datasets,Dataset Table,A report table for capturing details about data's parental data set and data custodians. Supplying attribution for data collectors.,NA
en,dataType,Data type,The data type for a part.,"Data types used in the ODM include: varchar, booleen, float, category, date, time, datetime, url, email. dataType corresponds the the entry or cell within a data table, most commonly within a report table. If the data entry has a unit, then the dataType corresponds to the unit and the dataType refers to 'unit'. If the data entry is a category, then the dataType refers to 'category'. All categories are varchar. Otherwise the dataType is identifed within the part entry. TBA: dataType for dictionary."
en,dataTypeCatSet,Data Type Category Set,The category set for the data type dictionary values.,Only used for the dictionary entries of parts.
en,date,Date,Date,date on which the assayMethod was created or updated (for version update).
en,datetime,Datetime Data Type,The data type for date and time data.,Only used for the dictionary entries of parts.
en,ddcovE,ddcov_e sars-cov-2 gene target,ddcov_e sars-cov-2 gene target.,NA
en,ddcovN ,ddcov_n sars-cov-2 gene target,ddcov_n sars-cov-2 gene target.,NA
en,death,Deaths,Units for describing a population measure of patients who have died from a given cause.,Unit for a population or disease measure to explain population-level clinical effects.
en,del 157S158,del 157/158,157 or 158 deletion delta-variant gene target,NA
en,del143S145 ,del143/145 ,143 or 145 deletion omicron-variant gene target.,NA
en,del2084S2084 ,del2084/2084 ,2084 or 2084 deletion omicron-variant gene target.,NA
en,del212S212 ,del212/212 ,212 or 212 deletion omicron-variant gene target.,NA
en,del3674S3676 ,del3674/3676 ,3674 or 3676 deletion omicron-variant gene target.,NA
en,del69S70 ,del69/70 ,69 or 70 deletion omicron-variant gene target.,NA
en,delta,Delta,B.1.617.2,NA
en,depreciated,Depreciated,Indicator to say that a part is no longer in current use in the model. See partID = status,NA
en,derived,Derived sample,Specifies a sample that is derrived or made from another sample or material.,NA
en,addID,Address ID,A unique identifier for an address.,NA
en,descrChange,Description of change,A description of change in a part from the previous verion,NA
en,desk,Desk or counter,"Desk, table, countertop or other flat working surface.",NA
en,deso,Dewatered solids,Dewatered solids.,NA
en,det,Detected,Substance detected or not detected.,"1 = detected, 0 = not detected"
en,details,Access to details,More details on the existing confidentiality requirements of this measurement.,NA
en,dictionary,Dictionary Part Type,Parts used to describe the dictionary. Parts with the `partType` atrbiute.,Part with this partType attribute describe to fundamental organization of the data model.
en,dilFact,Dilution factor,Specifies the extent to which a sample or aliquot was diluted prioir to analysis.,"Dilution factor is reported as a unitless measure, where a value of 10 indicates a 10:1 dilution."
en,disease,Disease (human),Specifies a collection of measures/methods related to disease or infection in humans.,NA
en,dissGasUnits,Dissolved gas concentration unit set,Unit set for carbon dioxide concentrations measurements in water or air.,NA
en,doc,Depth of coverage,The sequencing read depth.,Used to interpret the confidence in a presence or amount of a varient.
en,domain,Domain Part Type,"Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).",NA
en,domainID,Domain ID,"Domain is the highest level of describing of a measure. There are three domain types: biologic (i.e. Covid-19, chemical (i.e. nitrogen), physical measure (temperature).","The domain ID that corresponds to a given part. Mostly applicable for measures, methods, units, and aggregations."
en,dorm,Higher education domitory or residential building,Higher education domitory or residential building,NA
en,e156g,e156g delta-variant gene target,e156g delta-variant gene target,NA
en,e484a ,e484a omicron-variant gene target,e484a omicron-variant gene target,NA
en,ecoli,Escherichia coli,"Concentration of bacteria that are passed through the faecal excrement of humans, livestock and wildlife",NA
en,education,Education,A measure or sample taken for education or training.,"Use this purpose, for example, when teaching how to use the PHES-ODM."
en,orgTypeID,Organization Type ID,Specifies the type or purpose of a given organization. ,NA
en,envRnF,Rainfall,"Rainfall, i.e. amount of precipitation in the form of rain.",NA
en,envSnwD,Ground Snow Depth,Total depth of snow on the ground.,NA
en,envSnwF,Snowfall,"Snowfall, i.e. amount of precipitation in the form of snow.",NA
en,epiDate,Episode Date,"Episode date is the earliest of onset, test or reported date.",NA
en,eSarbeco,Sarbecovirus-specific E sars-cov-2 gene target,Sarbecovirus-specific E sars-cov-2 gene target,NA
en,estuary,"Estuary, natural water body","Estuary, natural water body",NA
en,expFail,Experiment Failed,PCR experiment failed. No value reported.,Value should be blank for a measure with this qualityFlag value.
en,extractCatSet,Nucleic Acid Extraction Category Set,Category set used for storing all the valid category values for the nucleic acid extraction method.,NA
en,extraction,Nucleic acid extraction method,Description of the xtraction method.,Description of the method used to extract the sample
en,exvol,Extraction volume of sample,Extraction volume of sample.,Size of the sample that is analyzed.
en,faeces,Fecal matter,Fecal matter.,NA
en,fals,False value,a boolean 'false' or 'no' indicator.,Use these values and their set for any boolean measure or attribute.
en,fi,Inhibition present and unaddressed,"The original sample was inhibited; however, the inhibition has not been successfully addressed. Therefore, no concentration estimate has been reported.",NA
en,field,Field sample,Specifies a sample taken from the field; directly collected from an area for testing.,NA
en,fieldReplicate,Field sample replicate,A sample divided into two or more homogeneous parts.,NA
en,file,File,"File containing the geometry of the polygon, blob format.",Depreciated in ODM version 2. See geoEPSG and geoWKT
en,filt,filtration,Describes solid separation from a wastewater sample via filtration. Proceeds further concentration or analysis of the liquid filtrate.,NA
en,FiNa,First Nation,"Used to categorize a sampleshed that is a First Nation, or on reserve lands.","Likely for internal use only, Indigenous data can and should not be shared without explicit consent of the nation in quesiton."
en,firstName,First Name of Contact,Specifies the first name of a given contact.,NA
en,firstRel,First Released,The version in which a part was first released,NA
en,firstReleased,First release version,The version that the the part or set was first released.,NA
en,fK,Foreign key,Foreign key for a table.,NA
en,float,Float Data Type,The data type for float data.,Only used for the dictionary entries of parts.
en,floMean,Flow-normalized mean,Mean measure normalized to wastewater flow; AlleleX (gc/mL) x Q (ML/d)  / (Pop /1e5) x 1e3 (mL/L) x 1e6 (L/ML)  = AlleleX (gc/day per 1e5 population) ,"Mostly used for reporting specific alleles (N1, N2, E, etc.)"
en,floor,Floor,Floor of a building or room.,NA
en,flow24h,Flow Proportional 24hr Sample,A flow proportional 24-hour composite sample generally collected by an autosampler.,NA
en,flowClass,Flow class,Specifies a collection of measures/methods related to flow.,NA
en,flowPr,Flow proportional sample,A flow proportionalcomposite sample generally collected by an autosampler.,Use collectionPeriod to describe how many hours the sample was taken.
en,flowRate,Flow rate,Wastewater volumetric flow rate at the sample collection location over the 24-hr period during which the sample was collected.,"If only an instantaneous flow measurement is available, it may be reported in units of million gallons per day. "
en,flowUnits,Volume flow rate unit set,Unit set for volume flow  measurements.,NA
en,flowVol,Flow volume,Volume of influent.,NA
en,flu,Influenza virus,Any influenza virus.,NA
en,fluiDpcr,Fluidigm digital PCR,Describes a PCR analysis done using FluidIGM's digital PCR technology.,NA
en,foggy,Foggy,"Qualitative category for the weather measure, specifying a foggy or hazy day.",NA
en,fractionCat,Sample fraction category set,"Category set for the fraction of the sample (solid, liquid, etc.).",NA
en,fractionID,Fraction analyzed,Fraction of the sample that is analyzed.,NA
en,frna,F-Specific RNA bacteriophages,A measure for amount of F-Specific RNA bacteriophages.,NA
en,frnaG2,"F-Specific RNA bacteriophages, G2",A measure for amount of G2 F-Specific RNA bacteriophages.,NA
en,frozen,Sample frozen,Sample was frozen before analysis or processing,NA
en,fst,Field sample temperature,Temperature that the sample is stored at while it is being sampled. This field is mainly relevant for composite samples which are either kept at ambient temperature or refrigerated while being sampled.,NA
en,funderID,Funding agency ,The funding agency of the dataset.,"Use Organization ID to populate this field, and the organizations table to describe contact information and other details for the funding agency. "
en,g215c,g215c delta-variant gene target,g215c delta-variant gene target,NA
en,g339d ,g339d omicron-variant gene target,g339d omicron-variant gene target,NA
en,g496s ,g496s omicron-variant gene target,g496s omicron-variant gene target,NA
en,g662s,g662s delta-variant gene target,g662s delta-variant gene target,NA
en,gam,Gamma,P.1,NA
en,gcCrA,Gene Copies per Copy of crAssphage,Gene or variant copies per copy of crAssphage.,NA
en,gcD100,"gene copies per day per 100,000","The unit for measures reflecting the gene copies per day per 100,000 people in the population.",NA
en,gcGs,Gene Copies per Gram Solids,Gene or variant copies per gram solids.,NA
en,gcL,Gene Copies per L,Gene or variant copies per litre.,NA
en,gcMl,Gene Copies per mL,Gene or variant copies per millilitre of solution.,NA
en,gcPpmov,Gene Copies per PMMoV Copy,Gene or variant copies per copy of PMMoV.,NA
en,geneticUnits,Genetics unit set,Unit set for genetic-related measurements.,NA
en,genQualitySet,Generic Quality Flag Set,A the quality set for flags to indicate if there is a quality concern about a given generic measure or sample.,"1 = quality concern, 0 = no quality concern."
en,geoEPSG,European Petroleum Survey Group Coordinates,The unique EPSG code specifying a given geospatial area.,NA
en,geoLat,Latitude,"Geographical location, latitude in decimal coordinates, ie.: (45.424721)",NA
en,geoLong,Longitude,"Geographical location, longitude in decimal coordinates, ie.: (-75.695000)",NA
en,geoType,Type of geography,Type of geography that is represented by the polygon.,NA
en,geoTypeCat,Geographic category set,Category set for different type of geographic components.,NA
en,geoWKT,Well-known text,Well-known text of the polygon,NA
en,gm3,Gram per cubic metre,Density unit.,Used for absolute humidity and other measures.
en,gmn,Geometric Mean,Geometric mean.,NA
en,govt,Government agency organization type,"The category of organization type used for government agencies, programs, or crown-owned bodies.",NA
en,graSet,gravity settling,"Describes solid separation from a wastewater sample where the sample material is allowed to settle by gravity, and then separated.",NA
en,grb,Grab sample,A single large representative grab sample.,"Use collectionPeriod to describe how many hours the sample was taken. If the sample is a composite of grab samples, collectionNum to record the number of samples."
en,group,Group Part Type,A collection of related measures.,See partID = groupID.
en,groupCat,Group category set,Category set for type of group.,NA
en,groupID,Group,"Unique identifier for a group of measures. Mostly applicable for measures, methods, units, and aggregations.","A collection of related measures. For example, SARS-CoV-2 is a group. Within the SARS-CoV-2 group, there are measure classes tht include RNA alleles (N1, N2, E, etc.), mutations, (E484K0), an entire sequence, viral proteins, etc. Currently groups are used for measures only."
en,h,Human compartment,A measure or observation made about a human.,NA
en,header,Header,Header for a table. Also known as a table variable or enitiy relationship 'attribute'. ,Header is the top row or the variable name in a table.
en,healthReg,Health planning region,The health planning authority where is site or insititute is located. See also `publicHealthDepartment`,NA
en,heatInacSARS,heat inactivated sars-cov-2 virus Spike Target,Heat inactivated SARS-CoV-2 virus is used as the recovery efficiency control target.,NA
en,hepGRna,hep g armored rna,Measure of the amount Hepatitis G Armored RNA.,NA
en,hepGRnaMat,hep g armored rna Spike Target,Hepatitis G armored RNA is used as the recovery efficiency control target.,NA
en,hlthReg,Sewer Network Health Region,Health region served by the sewer network,NA
en,hma,Hand Measurement,Handheld measurement analyzer.,A handheld measurement analyzer.
en,hollowFiberUF,Hollow fiber dead end ultrafiltration,Hollow fiber dead end ultrafiltration,NA
en,hosa,General Hospital Admissions,Hospital admissions or patients newly admitted to hospital.,NA
en,hosc,Hospital Census,Hospital census or the number of people admitted with an ailment.,NA
en,hosptl,Hospital,Hospital,NA
en,hoTaWa,Holding Tank Wastewater Depreciated,"Wastewater from a holding tank, such as from an airplane or ship","Deprecated in version 2, please do not use. Duplicate of the sampleMat categories - refer to those."
en,htSam,Holding tank wastewater,"Wastewater sampled from a holding tank, such as from an airplane or ship",NA
en,htSite,Holding tank,Holding tank,NA
en,humanCompartment,Human compartment set,A compartment set for measures and methods in the human compartment.,NA
en,humClass,Humidity class,Specifies a collection of measures/methods related to humidity.,NA
en,i1566v ,i1566v omicron-variant gene target,i1566v omicron-variant gene target,NA
en,i3758v ,i3758v omicron-variant gene target,i3758v omicron-variant gene target,NA
en,i82t,i82t delta-variant gene target,i82t delta-variant gene target,NA
en,ICD,International Classification of Diseases,Classification system for diseases in humans.,NA
en,icu,Intensive care unit patients,Units for describing a population measure of patients who are in intensive care due to a given cause.,Unit for a population or disease measure to explain population-level clinical effects.
en,index,Index,Index number in case the measurement was taken multiple times.,NA
en,inhibMes,Inhibition measure,Parameter to report whether or not inhibition was adetected in the sample.,Binary measure - detected or no.
en,inhibMeth,Inhibition method,Description of the method used to evaluate molecular inhibition.,Description of the inhibition parameters.
en,innovaprepUF,Innovaprep ultrafiltration,Innovaprep ultrafiltration,NA
en,input,Input,Input for a table. Indicates an allowable measure or method within an input table. ,"`input` is used to indicate an allowable measure or method for a MeasureReport or MethodReport table. For example, covN1 is a specific measure that can be entered in the measureID field. Therefore, covN1 is has a value 'input' in the ReportTable column in the parts list. ODM users can generate their own custom template by modifying using the value 'input' for only the measures or methods that are applicable for their program. "
en,dataID,Dataset ID,"The name of the dataset that stores information for MeasureReport, SampleReport and other reporting tables.","Where possible, datasetID name should correspond the orignial data custodian responsible for generating environmental data. (suggestion for a default name convention.)"
en,instruments,Instrument Table,The table that contains information about instruments.,adapt from verson 1 documentation
en,instrumentTypeOther,Other instrument,Type of instrument other than those included in the PHES-ODM.,An other type of measurement instrument. Add description to  notes. See documentation for how to request new instruments added to the dictionary. 
