Version,2.3.0,,,,,,,,
translationID,lang,partID,label,partDesc,partInstr,firstReleased,lastUpdated,changes,notes
engblaOXA48,eng,blaOXA48,OXA-type Beta-Lactamase-Resistance gene target,OXA-type Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaSHV,eng,blaSHV,SHV Beta-Lactamase-Resistance gene target,SHV-type Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaTEM,eng,blaTEM,TEM Beta-Lactamase-Resistance gene target,TEM-type Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblaVIM,eng,blaVIM,Verone Integron-Encoded Metallo- (VIM) Beta-Lactamase-Resistance-resistance gene target,Verone Integron-Encoded Metallo- (VIM) Beta-Lactamase anti-microbial resistance gene target.,NA,2.2.0,2.2.0,added in V2.2.0,
engblob,eng,blob,Binary Large Object (BLOB) data type,The data type for Binary Large Object (BLOB) data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
engboc,eng,boc,Breadth of coverage (>=5x depth),"The percentage of the reference genome covered by the sequenced data, to a prescribed read depth greater or equal to 5. ",Report as percentage of positions.,2.0.0,2.0.0,Issue #120,
engbod5c,eng,bod5c,5-Day carbonaceous biochemical oxygen demand,"The quantity of oxygen utilized for the biochemical degradation of organic matter under standard laboratory procedures in five (5) days in the presence of a nitrification inhibitor, expressed in milligrams per litre (mg/l).",NA,1.1.0,2.0.0,"description wording, structure",
engbod5t,eng,bod5t,5-day total biochemical oxygen demand,5 day total biochemical oxygen demand.,NA,1.1.0,2.0.0,"description wording, structure",
engboolean,eng,boolean,Boolean data type,The data type for boolean/binary data.,Encoded as 'TRUE' or 'FALSE',2.0.0,2.0.0,added in V2.0.0,
engbooleanAggrSet,eng,booleanAggrSet,Boolean aggregation set,Aggreagation set for boolean.,NA,2.0.0,2.0.0,added in V2.0.0,
engbooleanSet,eng,booleanSet,Boolean value set,Set that contains the valid possible values for a boolean measure (TRUE or FALSE).,NA,2.0.0,2.0.0,added in V2.0.0,
engborreliaGrp,eng,borreliaGrp,Borrelia burgdorferi or Lyme Disease Group,A group of measures/methods related to Borrelia burgdorferi or Lyme Disease.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbrsv,eng,brsv,Bovine respiratory syncytial virus group,Bovine respiratory syncytial virus.,NA,2.0.0,2.0.0,added in V2.0.0,
engbrsvCul,eng,brsvCul,brsv culture spike target,Cultured bovine respiratory syncytial virus (BRSV) is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
engbrsvN,eng,brsvN,BRSV-N,bovine respiratory syncytial virus capsid protein gene region,NA,1.0.0,2.0.0,added in V2.0.0,
engbrsvVac,eng,brsvVac,brsv vaccine spike target,The bovine respiratory syncytial virus (BRSV) vaccine is used as the recovery efficiency control target.,NA,2.0.0,2.0.0,added in V2.0.0,
engbrucella,eng,brucella,Brucella,Brucella,NA,2.2.0,2.2.0,added in V2.2.0,
engbrucellaGrp,eng,brucellaGrp,Brucella Group,A group of measures/methods related to brucella bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engbsd0,eng,bsd0,BSD Zero-Clause license,The licensing for the measure or data set is managed under the BSD Zero-Clause license.,NA,2.2.0,2.2.0,added in V2.2.0,
engbsd2Clause,eng,bsd2Clause,"BSD 2-clause ""Simplified"" license","The licensing for the measure or data set is managed under the BSD 2-clause ""Simplified"" license.",NA,2.2.0,2.2.0,added in V2.2.0,
engbsd3Clause,eng,bsd3Clause,"BSD 3-clause ""New"" or ""Revised"" license","The licensing for the measure or data set is managed under the BSD 3-clause ""New"" or ""Revised"" license.",NA,2.2.0,2.2.0,added in V2.2.0,
engbsd3ClauseClear,eng,bsd3ClauseClear,BSD 3-clause Clear license,The licensing for the measure or data set is managed under the BSD 3-clause Clear license.,NA,2.2.0,2.2.0,added in V2.2.0,
engbsd4Clause,eng,bsd4Clause,"BSD 4-clause ""Original"" or ""Old"" license","The licensing for the measure or data set is managed under the BSD 4-clause ""Original"" or ""Old"" license.",NA,2.2.0,2.2.0,added in V2.2.0,
engbsl10,eng,bsl10,Boost Software License 1.0,The licensing for the measure or data set is managed under the Boost Software License 1.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engbSwrPpl,eng,bSwrPpl,Branch sewer pipleline,"Specifies a site type that is collection pipe that run lateral to other municpal sewer lines, allowing drainage into the main sewer.",NA,1.0.0,2.0.0,"description wording, structure",
engbuildCO,eng,buildCO,Building cleanout,Specifies a site type that is a capped pipe that connects to a building's main sewer line.,NA,1.0.0,2.0.0,"description wording, structure",
engbus,eng,bus,Bus,"A large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare.",NA,2.2.3,2.2.3,added in v2.2.3,
engbusStat,eng,busStat,Bus Station,A terminal where buses arrive and depart.,NA,2.2.3,2.2.3,added in v2.2.3,
engcaff,eng,caff,Caffeine,Caffeine (usually measured as a human fecal chemical indicator),NA,2.2.0,2.2.0,added in V2.2.0,
engCalprotectin,eng,Calprotectin,Calprotectin ,Calprotectin is a calcium- and zinc-binding protein of the S-100 protein family which is mainly found within neutrophils and throughout the human body. The presence of calprotectin in faeces is a consequence of neutrophil migration into the gastrointestinal tissue due to an inflammatory process.,NA,2.2.0,3.0.0,officially activate in v 3.0.0,
engcamp,eng,camp,Campylobacter,Campylobacter.,NA,2.1.0,2.1.0,added in V2.1.0,
engcampGrp,eng,campGrp,Campylobacter Group,A group of measures/methods related to campylobacter bacteria.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engcapacity,eng,capacity,Capacity class,Measures and methods relating to capacity.,NA,2.0.0,2.0.0,added in V2.0.0,
engcapacityUnitSet,eng,capacityUnitSet,Capacity unit set,Unit set for capacity measurements.,NA,2.0.0,2.0.0,added in V2.0.0,
engcapitalEndonym,eng,capitalEndonym,Capital city endonym,The name locals use for their country’s capital.,"Preprogrammed into dictionary tables, not editable by users.",2.1.0,2.1.0,added in V2.1.0,
engcapitalExonym,eng,capitalExonym,Capital city exonym,The English name foreigners use for the country’s capital.,"Preprogrammed into dictionary tables, not editable by users.",2.1.0,2.1.0,added in V2.1.0,
engcaRepDate,eng,caRepDate,Case report date,"Date that the numbers were reported publicly. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,depreciated,
engcaseEpDate,eng,caseEpDate,Episode date of confirmed cases ,"Episode date is the earliest of onset, test or reported date for a confirmed case.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engcaseOnDate,eng,caseOnDate,Onset date of confirmed cases ,"Earliest that symptoms were reported for a confirmed case. This data is often not known and reported. In lieu, episode is used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engcaseRepDate,eng,caseRepDate,Report date of confirmed cases ,"Date that the numbers were reported publicly for a confirmed case. Typically, reported data and this measure is most commonly reported and used.",NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engcaseTestDate,eng,caseTestDate,Test date of confirmed cases ,Date that the covid-19 test was performed for a confirmed case.,NA,1.0.0,2.0.0,now a unit for any group or biologic infection,
engcategorical,eng,categorical,Categorical data type,The data type for categorical data.,Only used for the dictionary entries of parts.,2.0.0,2.0.0,added in V2.0.0,
engcategories,eng,categories,Categories,"A discrete list of values that can be reported for a measure, method or attribute. ","A use-case example of categories would be how they are used to record the site where a measure is taken (partID = geoType). For the geoType attribute there are different type of sites where samples can be taken: a wastwater treatment plant, airplane holding tank, wastwater pumping station, etc. Each of these site types is recorded as a category that can be identified in categorySetID = sTypeCatSets",2.0.0,2.0.0,added in V2.0.0,
engcAuris,eng,cAuris,Candida auris,"The yeast species Candida auris, or C. auris.",NA,2.1.0,2.1.0,added in V2.1.0,
engcAurisGrp,eng,cAurisGrp,Candida auris Group,A group of measures/methods related to Candida auris.,Used to describe the organism information for general measures.,2.2.0,2.2.0,added in V2.2.0,
engcbp,eng,cbp,Carbapenemase-encoding genes,Carbapenemase-encoding genes.,NA,2.1.0,2.1.0,added in V2.1.0,
engcc010,eng,cc010,Creative Commons Zero v1.0 Universal,The licensing for the measure or data set is managed under the Creative Commons Zero v1.0 Universal.,NA,2.2.0,2.2.0,added in V2.2.0,
engccby40,eng,ccby40,Creative Commons Attribution 4.0,The licensing for the measure or data set is managed under the Creative Commons Attribution 4.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engccbync40,eng,ccbync40,CC BY-NC 4.0 license,"The licensing for the measure or data set is managed under the Creative Commons 4.0 by-attribution, non-commercial international license.",NA,2.2.3,2.2.3,added in v 2.2.3,
engccbyncsa40,eng,ccbyncsa40,CC BY-NC-SA 4.0 license,"The licensing for the measure or data set is managed under the Creative Commons 4.0 by-attribution, non-commercial, and sharealike international license.",NA,2.2.3,2.2.3,added in v 2.2.3,
engccbysa40,eng,ccbysa40,Creative Commons Attribution ShareAlike 4.0,The licensing for the measure or data set is managed under the Creative Commons Attribution ShareAlike 4.0.,NA,2.2.0,2.2.0,added in V2.2.0,
engccc,eng,ccc,Long-term acute care hospital,"Acute care hospitals, or complex contuing care, that provide care for patients with average length of stay longer than 25 days. ",NA,2.0.0,2.0.0,added in V2.0.0,
